Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.28299505E7, 2.97619047619048E7
Trial 1-128.0, 1.2800735317E7, 1.68918918918919E7
Trial 1-200.0, 1.1185927067E7, 1.13636363636364E7
Trial 1-256.0, 9057894.4, 9057971.01449276
Trial 1-350.0, 6703861.183, 6756756.75675676
Trial 1-384.0, 6188065.067, 6188118.81188119
Trial 1-440.0, 5434735.733, 5434782.60869565
Trial 1-448.0, 5341834.267, 5341880.34188034
Trial 1-500.0, 4507172.533, 4807692.30769231
Trial 1-512.0, 4699207.65, 4699248.12030075
Trial 1-1024.0, 2394615.233, 2394636.01532567
Trial 1-1280.0, 1908022.167, 1923076.92307692
Trial 1-1500.0, 1593325.167, 1644736.84210526
Trial 1-1518.0, 1511170.7, 1625487.64629389

Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Throughput (%),Aggregated Throughput (fps),Aggregated Theoretical Max (fps),Aggregated Throughput (Mbps),Aggregated Theoretical Max (Mbps)
64,43.109,43.109,43.109,12829950.5,29761904.762,8621.8,20000
128,75.781,75.78,75.78,12800735.317,16891891.892,15156.2,20000
200,98.437,98.436,98.436,11185927.067,11363636.364,19687.4,20000
256,100,99.999,99.999,9057894.4,9057971.014,20000,20000
350,99.218,99.217,99.217,6703861.183,6756756.757,19843.6,20000
384,100,99.999,99.999,6188065.067,6188118.812,20000,20000
440,100,99.999,99.999,5434735.733,5434782.609,20000,20000
448,100,99.999,99.999,5341834.267,5341880.342,20000,20000
500,93.75,93.749,93.749,4507172.533,4807692.308,18750,20000
512,100,99.999,99.999,4699207.65,4699248.12,20000,20000
1024,100,99.999,99.999,2394615.233,2394636.015,20000,20000
1280,99.218,99.217,99.217,1908022.167,1923076.923,19843.6,20000
1500,96.875,96.874,96.874,1593325.167,1644736.842,19375,20000
1518,92.968,92.967,92.967,1511170.7,1625487.646,18593.6,20000

Graph: LatencyBar, For Y Axis : Latency (uSec)
X-Axis Category, Min Latency, Avg Latency, Max Latency
64, 49.13, 111.98, 1014.05
128, 49.75, 116.69, 1511.02
200, 54.58, 118.65, 848.98
256, 55.82, 121.99, 796.85
350, 48.03, 104.37, 745.86
384, 49.19, 112.53, 727.85
440, 51.3, 112.73, 726.9
448, 52.82, 112.84, 876.44
500, 45.03, 100.1, 4400.88
512, 51.76, 110.27, 700.97
1024, 53.13, 118.46, 833.3
1280, 57.16, 118.46, 688.64
1500, 60.12, 115.72, 815.63
1518, 57.32, 111.52, 700.6

Graph: JitterBar, For Y Axis : Jitter (uSec)
X-Axis Category, Min Jitter, Avg Jitter, Max Jitter
64, 0.0, 36.62, 803.1
128, 0.0, 35.84, 1422.35
200, 0.0, 35.68, 757.48
256, 0.0, 36.34, 685.3
350, 0.0, 31.98, 636.7
384, 0.0, 27.93, 611.22
440, 0.0, 20.19, 600.59
448, 0.0, 18.85, 748.59
500, 0.0, 4.43, 4272.36
512, 0.0, 2.77, 566.74
1024, 0.0, 2.11, 689.05
1280, 0.0, 6.82, 588.11
1500, 0.0, 24.24, 716.08
1518, 0.0, 29.63, 581.81

Advanced Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Min Frame Loss (%),Min Latency (uSec),Avg Latency (uSec),Max Latency (uSec),Min Jitter (uSec),Avg Jitter (uSec),Max Jitter (uSec)
64,50,50,24.341897565519,24.27,11443.69,132439.97,0,34.59,9283.76
64,25.5,25.5,0,33.69,85.65,742.85,0,41.94,657.08
64,37.75,37.75,0,43.98,99.86,811.22,0,39.87,723.41
64,43.875,43.875,6.5270668765096,27.83,5066.68,97109.82,0,36.33,2678.89
64,40.812,40.812,0,45.55,105.43,867.13,0,38.64,781.48
64,42.343,42.343,0,47.48,108.56,886.46,0,37.38,808.74
64,43.109,43.109,0,49.13,111.98,1014.05,0,36.62,803.1
128,50,50,0,37.66,91.56,758.1,0,43.42,681.83
128,75,74.999,0,50.93,114.28,1520.26,0,36.48,1435.07
128,87.5,87.499,23.6507249995013,28.64,11425.19,127513.43,0,34.53,1282.99
128,81.25,81.249,11.8212356565566,36.19,8086.93,106524.32,0,35.46,1660.55
128,78.125,78.124,9.84932160339774,32.96,6933.44,97310.88,0,36.09,1202.15
128,76.562,76.561,4.25470173365876,35.66,3353.99,91184.53,0,36.25,1146.16
128,75.781,75.78,0,49.75,116.69,1511.02,0,35.84,1422.35
200,50,50,0,34.16,83.35,877.75,0,26.9,781.53
200,75,74.999,0,42.45,99.3,773.09,0,40.22,684.13
200,87.5,87.499,0,47.4,102.87,917.2,0,38.8,825.27
200,93.75,93.749,0,50.75,109.48,1011.13,0,37.43,923.15
200,96.875,96.874,0,53.07,114.06,1041.98,0,36.34,946.2
200,98.437,98.436,0,54.58,118.65,848.98,0,35.68,757.48
200,99.218,99.217,0.107671392154754,53.78,1923.19,101599.28,0,35.72,1043.85
256,50,50,0,33.14,82.19,680.89,0,2.11,602.49
256,75,74.999,0,40.77,91.69,902.85,0,35.35,827.77
256,87.5,87.499,0,44.99,99.3,946.47,0,37.73,853.57
256,93.75,93.749,0,46.63,108.79,836.93,0,36.49,715.84
256,96.875,96.874,0,48.8,111.91,836.29,0,35.97,737.66
256,98.437,98.436,0,50.28,111.45,1021.85,0,36.27,920.76
256,99.218,99.217,0,50.85,111.94,812.53,0,36.08,710.75
256,100,99.999,0,55.82,121.99,796.85,0,36.34,685.3
350,50,50,0,31.9,81.95,674.93,0,38.54,620.34
350,75,74.999,0,38.4,86.1,873.45,0,13.92,763.55
350,87.5,87.499,0,42.68,92.55,891.1,0,25.39,781.38
350,93.75,93.749,0,45.31,96.13,746.44,0,30.06,660.61
350,96.875,96.874,0,46.34,99.62,732.46,0,31.6,649.69
350,98.437,98.436,0,47.18,102.22,909.07,0,31.9,800.93
350,99.218,99.217,0,48.03,104.37,745.86,0,31.98,636.7
350,100,99.999,0.532943800490104,76.67,3293.2,169521.13,0,35.62,685.14
384,50,50,0,33.01,80.53,809.95,0,41.59,760.99
384,75,74.999,0,39.7,89.03,862.26,0,2.42,743.04
384,87.5,87.499,0,41.86,91,806.73,0,20.96,704.25
384,93.75,93.749,0,44.9,94.8,745.3,0,24.27,630.92
384,96.875,96.874,0,44.64,97.01,881.89,0,25.43,773.24
384,98.437,98.436,0,45.07,98.55,914.44,0,26.83,806.33
384,99.218,99.217,0,46.19,99.47,756.47,0,27.47,644.58
384,100,99.999,0,49.19,112.53,727.85,0,27.93,611.22
440,50,50,0,34.09,78.33,809.65,0,43.89,767.6
440,75,74.999,0,40.97,85.85,841.97,0,11.49,793
440,87.5,87.499,0,42.86,92.16,709.06,0,2.56,596.38
440,93.75,93.749,0,44.32,93.02,724.55,0,14.04,613.9
440,96.875,96.874,0,45.81,95.39,884.69,0,17.81,776.13
440,98.437,98.436,0,45.88,97.12,872.09,0,19.09,765.3
440,99.218,99.217,0,47.26,98.31,722.52,0,19.58,612.04
440,100,99.999,0,51.3,112.73,726.9,0,20.19,600.59
448,50,50,0,32.76,78.19,810.16,0,43.08,735.48
448,75,74.999,0,40.53,85.18,847.15,0,14.11,799.68
448,87.5,87.499,0,42.25,93.15,703.62,0,2.66,587.47
448,93.75,93.749,0,41.4,92.67,709.89,0,10.45,601.93
448,96.875,96.874,0,45.97,94.88,871.18,0,16.05,750.72
448,98.437,98.436,0,46.48,96.41,864.44,0,17.63,748.92
448,99.218,99.217,0,47.7,97.6,705.05,0,18.23,603.13
448,100,99.999,0,52.82,112.84,876.44,0,18.85,748.59
500,50,50,0,33.5,87.69,821.53,0,1.49,710.18
500,75,74.999,0,37.9,88.64,759.01,0,33.72,692.17
500,87.5,87.499,0,44.07,92.86,705.34,0,8.01,625.19
500,93.75,93.749,0,45.03,100.1,4400.88,0,4.43,4272.36
500,96.875,96.874,0.542257810795252,45.43,106.6,903.92,0,4.68,751.22
500,95.312,95.311,0.198063838134551,44.81,104.27,739.76,0,4.71,634.24
500,94.531,94.53,0.025088084808149,45.21,102.84,710.3,0,4.69,640.84
512,50,50,0,34.29,87.8,649.5,0,1.38,537.93
512,75,74.999,0,38.57,88.8,831.87,0,34.7,768.64
512,87.5,87.499,0,43.56,91.17,833.88,0,10.59,781.17
512,93.75,93.749,0,45.03,100.35,706.84,0,4.1,597.33
512,96.875,96.874,0,45.89,101.77,833.76,0,3.16,694.28
512,98.437,98.436,0,46.43,101.15,855.19,0,3.03,733.23
512,99.218,99.217,0,47.3,100.93,700.96,0,2.94,576.05
512,100,99.999,0,51.76,110.27,700.97,0,2.77,566.74
1024,50,50,0,38.12,105.77,759.23,0,1.55,642.46
1024,75,74.999,0,46.54,95.45,800.2,0,10.93,714.3
1024,87.5,87.499,0,50.25,102.66,655.46,0,2.09,533.63
1024,93.75,93.749,0,51.71,108.38,685.47,0,2.36,554.46
1024,96.875,96.874,0,51.11,104.64,815.73,0,2.11,698.02
1024,98.437,98.436,0,51.48,105.38,835.64,0,2.15,715.92
1024,99.218,99.217,0,50.13,106.15,661.09,0,2.18,536.67
1024,100,99.999,0,53.13,118.46,833.3,0,2.11,689.05
1280,50,50,0,44.83,109.41,792.54,0,1.38,671.82
1280,75,74.999,0,49.73,94.49,753.43,0,37.42,671.48
1280,87.5,87.499,0,54.06,103.76,671.89,0,18.78,597.11
1280,93.75,93.749,0,55.26,109.34,675.51,0,11.7,559.65
1280,96.875,96.874,0,55.95,114.94,824.12,0,8.91,705.87
1280,98.437,98.436,0,56.08,117.2,686.13,0,7.65,566.23
1280,99.218,99.217,0,57.16,118.46,688.64,0,6.82,588.11
1280,100,99.999,0.0000008666742633555,60.98,130.46,835.51,0,5.9,690.38
1500,50,50,0,49.69,113.19,758.95,0,1.41,633.05
1500,75,74.999,0,48.03,113.61,655.96,0,2.81,528.24
1500,87.5,87.499,0,53.92,106.56,662.82,0,38.18,583.91
1500,93.75,93.749,0,58.15,111.31,808.08,0,27.72,707.6
