Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.7670981667E7, 2.97619047619048E7
Trial 1-128.0, 1.4516261317E7, 1.68918918918919E7
Trial 1-200.0, 1.1185926067E7, 1.13636363636364E7
Trial 1-256.0, 9057891.55, 9057971.01449276
Trial 1-350.0, 6598322.033, 6756756.75675676
Trial 1-384.0, 6188064.967, 6188118.81188119
Trial 1-440.0, 5434735.35, 5434782.60869565
Trial 1-448.0, 5341834.0, 5341880.34188034
Trial 1-500.0, 4507171.983, 4807692.30769231
Trial 1-512.0, 4625759.1, 4699248.12030075
Trial 1-1024.0, 2394615.183, 2394636.01532567
Trial 1-1280.0, 1908022.05, 1923076.92307692
Trial 1-1500.0, 1503375.133, 1644736.84210526
Trial 1-1518.0, 1485780.45, 1625487.64629389

Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Throughput (%),Aggregated Throughput (fps),Aggregated Theoretical Max (fps),Aggregated Throughput (Mbps),Aggregated Theoretical Max (Mbps)
64,59.375,59.374,59.374,17670981.667,29761904.762,11875,20000
128,85.937,85.936,85.936,14516261.317,16891891.892,17187.4,20000
200,98.437,98.436,98.436,11185926.067,11363636.364,19687.4,20000
256,100,99.999,99.999,9057891.55,9057971.014,20000,20000
350,97.656,97.655,97.655,6598322.033,6756756.757,19531.2,20000
384,100,99.999,99.999,6188064.967,6188118.812,20000,20000
440,100,99.999,99.999,5434735.35,5434782.609,20000,20000
448,100,99.999,99.999,5341834,5341880.342,20000,20000
500,93.75,93.749,93.749,4507171.983,4807692.308,18750,20000
512,98.437,98.436,98.436,4625759.1,4699248.12,19687.4,20000
1024,100,99.999,99.999,2394615.183,2394636.015,20000,20000
1280,99.218,99.217,99.217,1908022.05,1923076.923,19843.6,20000
1500,91.406,91.405,91.405,1503375.133,1644736.842,18281.2,20000
1518,91.406,91.405,91.405,1485780.45,1625487.646,18281.2,20000

Graph: LatencyBar, For Y Axis : Latency (uSec)
X-Axis Category, Min Latency, Avg Latency, Max Latency
64, 64.83, 118.56, 1255.79
128, 55.6, 116.26, 1146.67
200, 53.45, 111.18, 876.29
256, 54.47, 116.67, 813.44
350, 47.08, 103.64, 762.74
384, 47.65, 107.17, 735.83
440, 52.32, 116.22, 745.34
448, 50.4, 116.57, 749.78
500, 44.81, 104.52, 722.4
512, 47.48, 93.62, 827.34
1024, 53.03, 115.0, 779.65
1280, 56.14, 120.05, 814.83
1500, 56.99, 105.82, 793.21
1518, 57.35, 105.74, 820.35

Graph: JitterBar, For Y Axis : Jitter (uSec)
X-Axis Category, Min Jitter, Avg Jitter, Max Jitter
64, 0.0, 27.25, 1160.53
128, 0.0, 31.6, 1051.27
200, 0.0, 34.4, 777.47
256, 0.0, 35.98, 691.11
350, 0.0, 29.0, 644.25
384, 0.0, 27.1, 618.76
440, 0.0, 18.94, 619.52
448, 0.0, 17.5, 613.95
500, 0.0, 3.49, 613.71
512, 0.0, 1.07, 708.51
1024, 0.0, 0.96, 629.74
1280, 0.0, 5.3, 682.87
1500, 0.0, 28.59, 703.72
1518, 0.0, 30.85, 709.84

Advanced Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Min Frame Loss (%),Min Latency (uSec),Avg Latency (uSec),Max Latency (uSec),Min Jitter (uSec),Avg Jitter (uSec),Max Jitter (uSec)
64,50,50,0,55.32,104.8,1485.43,0,32.45,1406.33
64,75,74.999,22.2520229196526,105.67,212.67,1947.05,0,23.19,1753.01
64,62.5,62.499,6.95281002448441,84.2,211.91,1779.19,0,26.67,1606.36
64,56.25,56.25,0,59.93,112.25,1098.33,0,28.96,961.95
64,59.375,59.374,0,64.83,118.56,1255.79,0,27.25,1160.53
64,60.937,60.936,5.54148945317191,73.87,211.32,1424.8,0,27.26,1238.8
64,60.156,60.155,1.79291256030735,58.5,165.14,1386.31,0,27.19,1205.25
128,50,50,0,37.99,85.44,772.03,0,42.96,688
128,75,74.999,0,50.09,105.14,1467.65,0,35.48,1381.44
128,87.5,87.499,1.53834429802402,69.92,205.32,1730.91,0,32.17,1547.62
128,81.25,81.249,0,53.24,110.51,924.44,0,32.57,835.35
128,84.375,84.374,0,54.77,112.32,930.42,0,31.95,843.23
128,85.937,85.936,0,55.6,116.26,1146.67,0,31.6,1051.27
128,86.718,86.717,0.623680273214798,72.37,205.99,1746.6,0,32.05,1562.96
200,50,50,0,32.84,79.36,852.56,0,27.17,757.63
200,75,74.999,0,42.44,95.43,780.43,0,38.98,704.19
200,87.5,87.499,0,47.33,104.75,832.89,0,34.84,727.74
200,93.75,93.749,0,50.47,104.78,1027.15,0,35.76,943.91
200,96.875,96.874,0,51.66,109.26,1042.53,0,34.82,940.91
200,98.437,98.436,0,53.45,111.18,876.29,0,34.4,777.47
200,99.218,99.217,0.163629400538471,74.87,183.03,944.17,0,34.6,751.48
256,50,50,0,33.64,79.05,858.52,0,0.72,746.09
256,75,74.999,0,40.47,86.83,910.92,0,35.41,820.13
256,87.5,87.499,0,44.28,93.22,765.7,0,37.04,682.43
256,93.75,93.749,0,45.13,103.48,793.32,0,35.37,685.48
256,96.875,96.874,0,49.02,107.03,953.94,0,34.93,865.13
256,98.437,98.436,0,49.02,104.27,989.85,0,35.93,890.58
256,99.218,99.217,0,50.72,105.13,792.89,0,35.55,701.17
256,100,99.999,0,54.47,116.67,813.44,0,35.98,691.11
350,50,50,0,33.77,79.99,842.4,0,38.47,789.36
350,75,74.999,0,38.49,81.91,871.8,0,15.38,762.89
350,87.5,87.499,0,43.39,88.29,718.89,0,23.93,610.67
350,93.75,93.749,0,44.82,94.13,736.23,0,29.45,645.7
350,96.875,96.874,0,46.45,102.6,917.34,0,28.61,822.88
350,98.437,98.436,0.000146592486591793,46.99,104.35,4359.22,0,29.46,4249.98
350,97.656,97.655,0,47.08,103.64,762.74,0,29,644.25
384,50,50,0,33.9,78.48,665.79,0,41.4,618.29
384,75,74.999,0,39.59,85.1,745.66,0,0.82,631.43
384,87.5,87.499,0,43.3,92.13,902.1,0,20.33,794.49
384,93.75,93.749,0,45.63,91.04,720.25,0,23.6,621.66
384,96.875,96.874,0,45.6,92.13,740.69,0,23.04,633.35
384,98.437,98.436,0,45.73,93.05,900.4,0,23.84,796.18
384,99.218,99.217,0,45.54,93.75,915.76,0,25.65,807.09
384,100,99.999,0,47.65,107.17,735.83,0,27.1,618.76
440,50,50,0,33.69,75.85,666.55,0,44.55,612.27
440,75,74.999,0,40.31,85.07,807.16,0,10.86,731.28
440,87.5,87.499,0,42.55,88.35,863.67,0,0.89,749.5
440,93.75,93.749,0,43.77,91.04,712.54,0,15.15,609.38
440,96.875,96.874,0,46.49,97.01,720.78,0,17.16,597.32
