Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.260197585E7, 2.97619047619048E7
Trial 1-128.0, 1.2800735367E7, 1.68918918918919E7
Trial 1-200.0, 1.11859291E7, 1.13636363636364E7
Trial 1-256.0, 9057894.317, 9057971.01449276
Trial 1-350.0, 6703861.7, 6756756.75675676
Trial 1-384.0, 6188064.95, 6188118.81188119
Trial 1-440.0, 5434735.767, 5434782.60869565
Trial 1-448.0, 5341834.767, 5341880.34188034
Trial 1-500.0, 4507172.1, 4807692.30769231
Trial 1-512.0, 4699207.583, 4699248.12030075
Trial 1-1024.0, 2394615.167, 2394636.01532567
Trial 1-1280.0, 1908022.167, 1923076.92307692
Trial 1-1500.0, 1606170.55, 1644736.84210526
Trial 1-1518.0, 1587372.783, 1625487.64629389

Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Throughput (%),Aggregated Throughput (fps),Aggregated Theoretical Max (fps),Aggregated Throughput (Mbps),Aggregated Theoretical Max (Mbps)
64,42.343,42.343,42.343,12601975.85,29761904.762,8468.6,20000
128,75.781,75.78,75.78,12800735.367,16891891.892,15156.2,20000
200,98.437,98.436,98.436,11185929.1,11363636.364,19687.4,20000
256,100,99.999,99.999,9057894.317,9057971.014,20000,20000
350,99.218,99.217,99.217,6703861.7,6756756.757,19843.6,20000
384,100,99.999,99.999,6188064.95,6188118.812,20000,20000
440,100,99.999,99.999,5434735.767,5434782.609,20000,20000
448,100,99.999,99.999,5341834.767,5341880.342,20000,20000
500,93.75,93.749,93.749,4507172.1,4807692.308,18750,20000
512,100,99.999,99.999,4699207.583,4699248.12,20000,20000
1024,100,99.999,99.999,2394615.167,2394636.015,20000,20000
1280,99.218,99.217,99.217,1908022.167,1923076.923,19843.6,20000
1500,97.656,97.655,97.655,1606170.55,1644736.842,19531.2,20000
1518,97.656,97.655,97.655,1587372.783,1625487.646,19531.2,20000

Graph: LatencyBar, For Y Axis : Latency (uSec)
X-Axis Category, Min Latency, Avg Latency, Max Latency
64, 47.75, 108.56, 866.07
128, 50.92, 116.58, 3624.73
200, 54.65, 118.5, 3607.52
256, 55.39, 122.62, 823.22
350, 47.71, 104.36, 755.8
384, 51.2, 112.99, 774.91
440, 51.88, 113.11, 843.3
448, 52.35, 113.04, 888.39
500, 44.57, 100.12, 735.35
512, 51.49, 110.2, 715.88
1024, 54.87, 118.96, 816.51
1280, 56.06, 119.23, 693.74
1500, 60.15, 116.54, 721.32
1518, 60.03, 116.43, 691.22

Graph: JitterBar, For Y Axis : Jitter (uSec)
X-Axis Category, Min Jitter, Avg Jitter, Max Jitter
64, 0.0, 37.38, 782.21
128, 0.0, 35.88, 3112.5
200, 0.0, 35.64, 3476.09
256, 0.0, 36.32, 698.39
350, 0.0, 31.95, 640.77
384, 0.0, 27.93, 644.7
440, 0.0, 20.17, 713.92
448, 0.0, 18.86, 752.17
500, 0.0, 4.41, 636.68
512, 0.0, 2.77, 591.98
1024, 0.0, 2.11, 683.97
1280, 0.0, 6.81, 558.38
1500, 0.0, 23.62, 623.73
1518, 0.0, 24.47, 563.63

Advanced Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Min Frame Loss (%),Min Latency (uSec),Avg Latency (uSec),Max Latency (uSec),Min Jitter (uSec),Avg Jitter (uSec),Max Jitter (uSec)
64,50,50,23.943425947998,24.98,11457.27,135538.08,0,34.58,7291.65
64,25.5,25.5,0,34.02,85.65,750.47,0,41.94,665.12
64,37.75,37.75,0,44.07,99.86,5689.25,0,39.86,4765.69
64,43.875,43.875,6.27047055181537,28.82,4242.85,96750.69,0,36.31,5611.23
64,40.812,40.812,0,46.12,105.4,5215.54,0,38.63,5105.69
64,42.343,42.343,0,47.75,108.56,866.07,0,37.38,782.21
64,43.109,43.109,0.0000717071992714736,48.9,111.57,6607.35,0,36.61,5618.82
128,50,50,0,37.07,91.54,2679.03,0,43.4,2538.52
128,75,74.999,0,50.58,114.15,4710.9,0,36.53,3432.61
128,87.5,87.499,23.6294715733274,25.17,11415.39,128432.77,0,34.54,8676.27
128,81.25,81.249,11.8441252241979,34.8,8547.44,106459.91,0,35.46,1024.34
128,78.125,78.124,9.82952383897326,33.79,6931.95,97538.52,0,36.09,986.99
128,76.562,76.561,4.27504305755999,34.77,3342.48,91347.81,0,36.21,1932.86
128,75.781,75.78,0,50.92,116.58,3624.73,0,35.88,3112.5
200,50,50,0,33.71,83.29,857.45,0,26.9,760.23
200,75,74.999,0,42.17,99.56,2430.01,0,40.09,2289.69
200,87.5,87.499,0,47.39,102.95,2537.33,0,38.82,2410.07
200,93.75,93.749,0,50.88,109.49,2586.94,0,37.41,2459.33
200,96.875,96.874,0,53.23,114.08,2770.45,0,36.31,2654.05
200,98.437,98.436,0,54.65,118.5,3607.52,0,35.64,3476.09
200,99.218,99.217,0.107493706537312,52.8,1923.08,101620.26,0.01,35.71,2968.36
256,50,50,0,32.85,82.15,1736.78,0,2.1,1609.84
256,75,74.999,0,41.04,91.68,2056.49,0,35.36,1942.73
256,87.5,87.499,0,44.68,99.43,2142.33,0,37.75,2026.31
256,93.75,93.749,0,46.68,108.61,2387.22,0,36.52,2245.79
256,96.875,96.874,0,48.38,112.27,923.67,0,35.78,810.64
256,98.437,98.436,0,49.53,111.6,2367.77,0,36.15,2243.71
256,99.218,99.217,0,50.02,111.28,2500.84,0,36.29,2347.24
256,100,99.999,0,55.39,122.62,823.22,0,36.32,698.39
350,50,50,0,32.31,82.08,809.61,0,38.5,753.54
350,75,74.999,0,37.93,86.11,869.38,0,13.95,756.23
350,87.5,87.499,0,42.65,92.55,820.34,0,25.42,715.51
350,93.75,93.749,0,43.61,96.16,740.79,0,30.07,633.25
350,96.875,96.874,0,46.86,99.69,923.65,0,31.58,812.03
350,98.437,98.436,0,47.59,102.16,925.3,0,31.87,824.22
350,99.218,99.217,0,47.71,104.36,755.8,0,31.95,640.77
350,100,99.999,0.533033928762866,73.29,3284.92,169528.31,0,35.64,699.72
384,50,50,0,33.3,80.5,804.99,0,41.58,755.83
384,75,74.999,0,40.18,88.58,849.56,0,2.38,733.93
384,87.5,87.499,0,43.08,90.97,710.49,0,20.97,599.29
384,93.75,93.749,0,44.49,94.79,737.28,0,24.28,636.33
384,96.875,96.874,0,44.71,96.95,873.57,0,25.44,771.84
384,98.437,98.436,0,44.88,98.48,877.86,0,26.8,781.89
384,99.218,99.217,0,45.2,99.48,737.22,0,27.46,637.86
384,100,99.999,0,51.2,112.99,774.91,0,27.93,644.7
440,50,50,0,33.81,78.38,790.4,0,44.07,712.49
440,75,74.999,0,40.55,85.83,843.89,0,11.42,794.81
440,87.5,87.499,0,43.51,92.47,4311.93,0,2.64,4185.25
440,93.75,93.749,0,43.79,92.96,700.36,0,13.97,592.52
440,96.875,96.874,0,45.86,95.34,886.75,0,17.73,784.88
440,98.437,98.436,0,46.76,97.01,862.23,0,18.99,753.97
440,99.218,99.217,0,47.3,98.34,730.68,0,19.67,612
440,100,99.999,0,51.88,113.11,843.3,0,20.17,713.92
448,50,50,0,32.95,78.2,813.33,0,43.16,770.74
448,75,74.999,0,40.56,85.21,832.15,0,14.09,776.8
448,87.5,87.499,0,42.94,93.46,714.93,0,2.65,600.94
448,93.75,93.749,0,43.42,92.65,715.29,0,10.42,595.66
448,96.875,96.874,0,45.29,94.83,889.67,0,15.98,829.83
448,98.437,98.436,0,46.02,96.4,840.84,0,17.61,715.49
448,99.218,99.217,0,47.79,97.6,749.18,0,18.27,614.03
448,100,99.999,0,52.35,113.04,888.39,0,18.86,752.17
500,50,50,0,33.57,87.24,836.76,0,1.49,723.77
500,75,74.999,0,38.36,88.79,692.26,0,33.72,631.82
500,87.5,87.499,0,43.44,92.92,711.04,0,7.75,645.57
500,93.75,93.749,0,44.57,100.12,735.35,0,4.41,636.68
500,96.875,96.874,0.567150046067247,44.56,106.74,883.88,0,4.67,793.24
500,95.312,95.311,0.220692415137155,44.52,104.47,722.81,0,4.7,603.34
500,94.531,94.53,0.052239735237115,40.92,102.91,722.59,0,4.65,650.21
512,50,50,0,34.19,87.8,729.42,0,1.38,619
512,75,74.999,0,38.1,88.79,865.86,0,34.7,802.99
512,87.5,87.499,0,44.27,91.23,810.16,0,10.5,695.05
512,93.75,93.749,0,44.21,100.51,711.33,0,4.11,628.94
512,96.875,96.874,0,45.7,101.34,867.31,0,3.13,783.51
512,98.437,98.436,0,46.5,100.99,864.45,0,3.03,745.96
512,99.218,99.217,0,47.61,100.76,696.17,0,2.93,604.57
512,100,99.999,0,51.49,110.2,715.88,0,2.77,591.98
1024,50,50,0,37.74,105.79,794.84,0,1.55,677.76
1024,75,74.999,0,47.07,95.35,817.23,0,10.85,742.83
1024,87.5,87.499,0,50.24,102.1,672.74,0,2.08,544.66
1024,93.75,93.749,0,50.74,106.35,690.51,0,2.21,563.98
1024,96.875,96.874,0,50.56,105.15,808.9,0,2.14,681.52
1024,98.437,98.436,0,50.61,105.31,807.21,0,2.15,686.3
1024,99.218,99.217,0,50.65,106.36,682.62,0,2.18,558.79
1024,100,99.999,0,54.87,118.96,816.51,0,2.11,683.97
1280,50,50,0,44.87,108.66,800.84,0,1.38,680.08
1280,75,74.999,0,49.43,94.15,763.94,0,38.03,656.13
1280,87.5,87.499,0,55.18,103.59,750.35,0,17.97,618.42
1280,93.75,93.749,0,55.58,108.31,691.23,0,10.98,566.17
1280,96.875,96.874,0,56.6,112.11,812.97,0,8.29,689.57
1280,98.437,98.436,0,56.98,116.91,696.05,0,7.27,571.35
1280,99.218,99.217,0,56.06,119.23,693.74,0,6.81,558.38
1280,100,99.999,0.0000017333480159466,60.04,129.72,821.14,0,5.69,688.02
1500,50,50,0,48.98,113.15,641.29,0,1.4,516.02
1500,75,74.999,0,47.55,113.36,648.23,0,2.79,525.09
1500,87.5,87.499,0,54.48,105.86,652.78,0,38.47,587.34
1500,93.75,93.749,0,57.62,111.92,820.21,0,27.49,695.31
1500,96.875,96.874,0,59.39,115.76,796.01,0,24.21,660.58
1500,98.437,98.436,0.0000030882962107604,55.78,118.59,660.24,0,22.4,562.2
1500,97.656,97.655,0,60.15,116.54,721.32,0,23.62,623.73
1518,50,50,0,48.69,113.53,786.56,0,1.42,658.02
1518,75,74.999,0,47.97,114.33,767.75,0,2.25,639.74
1518,87.5,87.499,0,53.64,105.99,670.63,0,39.66,572.44
1518,93.75,93.749,0,57.88,112.62,721.35,0,28.4,623.29
1518,96.875,96.874,0,60.46,116.36,837.27,0,25.4,720.88
1518,98.437,98.436,0.0000031248687229629,61.59,118.01,679.81,0,23.81,556.29
1518,97.656,97.655,0,60.03,116.43,691.22,0,24.47,563.63

Trial Summary Table
Trial,Frame Size (bytes),Result,Intended Load (%),Offered Load (%),Throughput (%),Port Name,Throughput (fps),Theoretical Max Throughput (fps),Throughput (Mbps),Theoretical Max Throughput (Mbps),Frame Loss (%),Max Latency Threshold Exceeded,Out of Sequence Threshold Exceeded
1,64,Passed,42.343,42.343,42.343,,12601975.85,29761904.762,8468.6,20000,0,False,False
,,,,,,Port //1/2,6300975.117,14880952.381,4234.26,10000,,,
,,,,,,Port //1/1,6301000.733,14880952.381,4234.27,10000,,,
1,128,Passed,75.781,75.78,75.78,,12800735.367,16891891.892,15156.2,20000,0,False,False
,,,,,,Port //1/2,6400355.317,8445945.946,7578.02,10000,,,
,,,,,,Port //1/1,6400380.05,8445945.946,7578.05,10000,,,
1,200,Passed,98.437,98.436,98.436,,11185929.1,11363636.364,19687.4,20000,0,False,False
,,,,,,Port //1/2,5592954.267,5681818.182,9843.6,10000,,,
,,,,,,Port //1/1,5592974.833,5681818.182,9843.64,10000,,,
1,256,Passed,100,99.999,99.999,,9057894.317,9057971.014,20000,20000,0,False,False
,,,,,,Port //1/2,4528940.783,4528985.507,9999.9,10000,,,
,,,,,,Port //1/1,4528953.533,4528985.507,9999.93,10000,,,
1,350,Passed,99.218,99.217,99.217,,6703861.7,6756756.757,19843.6,20000,0,False,False
,,,,,,Port //1/2,3351925.317,3378378.378,9921.7,10000,,,
,,,,,,Port //1/1,3351936.383,3378378.378,9921.73,10000,,,
1,384,Passed,100,99.999,99.999,,6188064.95,6188118.812,20000,20000,0,False,False
,,,,,,Port //1/2,3094028.2,3094059.406,9999.9,10000,,,
,,,,,,Port //1/1,3094036.75,3094059.406,9999.93,10000,,,
1,440,Passed,100,99.999,99.999,,5434735.767,5434782.609,20000,20000,0,False,False
,,,,,,Port //1/2,2717364.183,2717391.304,9999.9,10000,,,
,,,,,,Port //1/1,2717371.583,2717391.304,9999.93,10000,,,
1,448,Passed,100,99.999,99.999,,5341834.767,5341880.342,20000,20000,0,False,False
,,,,,,Port //1/2,2670913.967,2670940.171,9999.9,10000,,,
,,,,,,Port //1/1,2670920.8,2670940.171,9999.93,10000,,,
1,500,Passed,93.75,93.749,93.749,,4507172.1,4807692.308,18750,20000,0,False,False
,,,,,,Port //1/2,2253582.383,2403846.154,9374.9,10000,,,
,,,,,,Port //1/1,2253589.717,2403846.154,9374.93,10000,,,
1,512,Passed,100,99.999,99.999,,4699207.583,4699248.12,20000,20000,0,False,False
,,,,,,Port //1/2,2349600.167,2349624.06,9999.9,10000,,,
,,,,,,Port //1/1,2349607.417,2349624.06,9999.93,10000,,,
1,1024,Passed,100,99.999,99.999,,2394615.167,2394636.015,20000,20000,0,False,False
,,,,,,Port //1/2,1197305.683,1197318.008,9999.9,10000,,,
,,,,,,Port //1/1,1197309.483,1197318.008,9999.93,10000,,,
1,1280,Passed,99.218,99.217,99.217,,1908022.167,1923076.923,19843.6,20000,0,False,False
,,,,,,Port //1/2,954009.583,961538.462,9921.7,10000,,,
,,,,,,Port //1/1,954012.583,961538.462,9921.73,10000,,,
1,1500,Passed,97.656,97.655,97.655,,1606170.55,1644736.842,19531.2,20000,0,False,False
,,,,,,Port //1/2,803083.967,822368.421,9765.5,10000,,,
,,,,,,Port //1/1,803086.583,822368.421,9765.53,10000,,,
1,1518,Passed,97.656,97.655,97.655,,1587372.783,1625487.646,19531.2,20000,0,False,False
,,,,,,Port //1/2,793685.167,812743.823,9765.5,10000,,,
,,,,,,Port //1/1,793687.617,812743.823,9765.53,10000,,,

iMIX Distributions Table
iMIX Distribution,Frame Length Mode,IP Total Length,Default Ethernet,POS Length,Weight,Percentage (%)
N/A,N/A,N/A,N/A,N/A,N/A,N/A

\2544-Tput-Summary_2010-11-10_14-48-49.db\RFC 2544 Throughput Test Result Detailed Summary View

Trial Number,Frame Size Type,Configured Frame Size,Avg Frame Size,iMIX Distribution,Intended Load (%),Offered Load (%),Result,Throughput (%),Max Latency Threshold Exceeded,Out Of Seq Threshold Exceeded,Tx Frame Count,Rx Frame Count,Frame Loss,Percent Loss,Offered Load (fps),Forwarding Rate (fps),Minimum Latency (us),Maximum Latency (us),Average Latency (us),Minimum Jitter (us),Maximum Jitter (us),Average Jitter (us),Out Of Sequence Count,Flood Frame Count,Unexpected Rx Signature Frames,Duration(sec)
1,Fixed,64.0,64.0,N/A,50.0,50.0,Failed,0.0,False,False,892849676,679070875,213778801,23.943425947998,14880827.933,11312343.23,24.98,135538.08,11457.27,0.0,7291.65,34.58,78760181,0,No,60.0
1,Fixed,64.0,64.0,N/A,25.5,25.5,Passed,25.5,False,False,455353296,455353296,0,0.0,7589221.6,7589222.46,34.02,750.47,85.65,0.0,665.12,41.94,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,37.75,37.75,Passed,37.75,False,False,674101454,674101454,0,0.0,11235024.233,11235025.52,44.07,5689.25,99.86,0.0,4765.69,39.86,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,43.875,43.875,Failed,37.75,False,False,783475460,734347862,49127598,6.27047055181537,13057924.333,12232839.19,28.82,96750.69,4242.85,0.0,5611.23,36.31,10981540,0,No,60.0
1,Fixed,64.0,64.0,N/A,40.812,40.812,Passed,40.812,False,False,728779469,728779469,0,0.0,12146324.483,12146327.92,46.12,5215.54,105.4,0.0,5105.69,38.63,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,42.343,42.343,Passed,42.343,False,False,756118551,756118551,0,0.0,12601975.85,12601978.86,47.75,866.07,108.56,0.0,782.21,37.38,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,43.109,43.109,Failed,42.343,False,False,769797183,769796631,552,7.17071992714736e-05,12829953.05,12829940.84,48.9,6607.35,111.57,0.0,5618.82,36.61,8,0,No,60.0
1,Fixed,128.0,128.0,N/A,50.0,50.0,Passed,50.0,False,False,506752454,506752454,0,0.0,8445874.233,8445874.7,37.07,2679.03,91.54,0.0,2538.52,43.4,0,0,No,60.0
1,Fixed,128.0,128.0,N/A,75.0,74.999,Passed,74.999,False,False,760128715,760128715,0,0.0,12668811.917,12668812.16,50.58,4710.9,114.15,0.0,3432.61,36.53,0,0,No,60.0
1,Fixed,128.0,128.0,N/A,87.5,87.499,Failed,74.999,False,False,886816666,677266574,209550092,23.6294715733274,14780277.767,11282268.58,25.17,128432.77,11415.39,0.0,8676.27,34.54,76861334,0,No,60.0
1,Fixed,128.0,128.0,N/A,81.25,81.249,Failed,74.999,False,False,823472761,725939616,97533145,11.8441252241979,13724546.017,12093006.05,34.8,106459.91,8547.44,0.0,1024.34,35.46,36762769,0,No,60.0
1,Fixed,128.0,128.0,N/A,78.125,78.124,Failed,74.999,False,False,791800796,713970548,77830248,9.82952383897326,13196679.933,11893422.39,33.79,97538.52,6931.95,0.0,986.99,36.09,22363628,0,No,60.0
1,Fixed,128.0,128.0,N/A,76.562,76.561,Failed,74.999,False,False,775959553,742786948,33172605,4.27504305755999,12932659.217,12373312.45,34.77,91347.81,3342.48,0.0,1932.86,36.21,6789021,0,No,60.0
1,Fixed,128.0,128.0,N/A,75.781,75.78,Passed,75.78,False,False,768044122,768044122,0,0.0,12800735.367,12800738.13,50.92,3624.73,116.58,0.0,3112.5,35.88,0,0,No,60.0
