Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.9298354017E7, 2.97619047619048E7
Trial 1-128.0, 1.55719983E7, 1.68918918918919E7
Trial 1-200.0, 1.118592885E7, 1.13636363636364E7
Trial 1-256.0, 9057892.767, 9057971.01449276
Trial 1-350.0, 6703861.8, 6756756.75675676
Trial 1-384.0, 6188065.033, 6188118.81188119
Trial 1-440.0, 5434736.0, 5434782.60869565
Trial 1-448.0, 5341834.433, 5341880.34188034
Trial 1-500.0, 4507172.417, 4807692.30769231
Trial 1-512.0, 4699207.967, 4699248.12030075
Trial 1-1024.0, 2394615.417, 2394636.01532567
Trial 1-1280.0, 1923060.467, 1923076.92307692
Trial 1-1500.0, 1644722.6, 1644736.84210526
Trial 1-1518.0, 1612762.417, 1625487.64629389

Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Throughput (%),Aggregated Throughput (fps),Aggregated Theoretical Max (fps),Aggregated Throughput (Mbps),Aggregated Theoretical Max (Mbps)
64,64.843,64.842,64.842,19298354.017,29761904.762,12968.6,20000
128,92.187,92.186,92.186,15571998.3,16891891.892,18437.4,20000
200,98.437,98.436,98.436,11185928.85,11363636.364,19687.4,20000
256,100,99.999,99.999,9057892.767,9057971.014,20000,20000
350,99.218,99.217,99.217,6703861.8,6756756.757,19843.6,20000
384,100,99.999,99.999,6188065.033,6188118.812,20000,20000
440,100,99.999,99.999,5434736,5434782.609,20000,20000
448,100,99.999,99.999,5341834.433,5341880.342,20000,20000
500,93.75,93.749,93.749,4507172.417,4807692.308,18750,20000
512,100,99.999,99.999,4699207.967,4699248.12,20000,20000
1024,100,99.999,99.999,2394615.417,2394636.015,20000,20000
1280,100,99.999,99.999,1923060.467,1923076.923,20000,20000
1500,100,99.999,99.999,1644722.6,1644736.842,20000,20000
1518,99.218,99.217,99.217,1612762.417,1625487.646,19843.6,20000

Graph: LatencyBar, For Y Axis : Latency (uSec)
X-Axis Category, Min Latency, Avg Latency, Max Latency
64, 7.78, 14.64, 30.17
128, 8.03, 14.5, 27.84
200, 8.3, 16.16, 36.34
256, 8.87, 15.07, 27.89
350, 9.0, 12.35, 25.84
384, 9.48, 12.9, 25.78
440, 9.73, 13.08, 25.46
448, 9.87, 13.32, 25.66
500, 9.25, 16.24, 54.54
512, 10.01, 13.2, 24.85
1024, 12.22, 15.86, 27.27
1280, 13.16, 19.09, 31.99
1500, 13.88, 19.71, 32.92
1518, 13.4, 16.05, 29.95

Graph: JitterBar, For Y Axis : Jitter (uSec)
X-Axis Category, Min Jitter, Avg Jitter, Max Jitter
64, 0.0, 0.57, 8.93
128, 0.0, 0.57, 9.81
200, 0.0, 0.68, 11.81
256, 0.0, 0.47, 12.59
350, 0.0, 0.46, 10.93
384, 0.0, 0.47, 13.25
440, 0.0, 0.5, 12.14
448, 0.0, 0.5, 12.36
500, 0.0, 1.46, 17.03
512, 0.0, 0.46, 11.5
1024, 0.0, 0.28, 11.69
1280, 0.0, 0.2, 11.64
1500, 0.0, 0.15, 10.95
1518, 0.0, 0.48, 13.8

Advanced Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Min Frame Loss (%),Min Latency (uSec),Avg Latency (uSec),Max Latency (uSec),Min Jitter (uSec),Avg Jitter (uSec),Max Jitter (uSec)
64,50,50,0,7.61,12.91,34.64,0,0.49,11.4
64,75,74.999,16.8790412283718,8.18,118.31,228.01,0,1.85,23.13
64,62.5,62.499,0,7.76,14.14,28.94,0,0.59,7.1
64,68.75,68.749,8.08375766039026,8.27,115.48,225.49,0,1.15,21.16
64,65.625,65.624,3.42675298113867,7.74,30.29,64.63,0,0.61,7.63
64,64.062,64.061,0,7.77,14.47,29.83,0,0.59,7.25
64,64.843,64.842,0,7.78,14.64,30.17,0,0.57,8.93
128,50,50,0,7.95,10.88,22.2,0,0.43,9.84
128,75,74.999,0,7.97,12.81,25.94,0,0.5,9.9
128,87.5,87.499,0,8.03,13.99,26.91,0,0.56,9.81
128,93.75,93.749,0.94022767838444,8.02,32.93,64.83,0,0.59,9.24
128,90.625,90.624,0,8.01,14.32,27.28,0,0.57,9.99
128,92.187,92.186,0,8.03,14.5,27.84,0,0.57,9.81
128,92.968,92.967,0.0110734546648719,8.05,15.01,64.29,0,0.57,9.74
200,50,50,0,7.9,9.8,21.94,0,0.51,12.78
200,75,74.999,0,8.11,11.49,23.23,0,0.47,10.28
200,87.5,87.499,0,8.27,12.55,25.39,0,0.49,10.48
200,93.75,93.749,0,8.17,13.54,26.19,0,0.59,10.77
200,96.875,96.874,0,8.3,14.24,27.86,0,0.66,11.24
200,98.437,98.436,0,8.3,16.16,36.34,0,0.68,11.81
200,99.218,99.217,0.110499848580277,8.31,41.42,84.38,0,0.66,11.15
256,50,50,0,8.01,9.84,21.59,0,0.49,12.39
256,75,74.999,0,8.32,10.52,21.62,0,0.43,12.09
256,87.5,87.499,0,8.59,11.75,23.58,0,0.49,10.39
256,93.75,93.749,0,8.63,12.63,24.49,0,0.52,11.2
256,96.875,96.874,0,8.5,13.37,25.83,0,0.53,11.52
256,98.437,98.436,0,8.55,13.82,26.44,0,0.53,11.88
256,99.218,99.217,0,8.57,14.07,26.69,0,0.53,11.88
256,100,99.999,0,8.87,15.07,27.89,0,0.47,12.59
350,50,50,0,8.42,10.04,23.66,0,0.47,13.76
350,75,74.999,0,8.49,10.5,22.58,0,0.53,12.5
350,87.5,87.499,0,8.34,10.75,22.46,0,0.54,12.25
350,93.75,93.749,0,8.75,11.08,23.36,0,0.51,12.08
350,96.875,96.874,0,8.9,11.54,24.54,0,0.5,11.43
350,98.437,98.436,0,8.95,11.95,24.3,0,0.49,12.02
350,99.218,99.217,0,9,12.35,25.84,0,0.46,10.93
350,100,99.999,0.537139309848237,9.19,202.88,348.1,0,0.51,11.85
384,50,50,0,8.57,10.16,22.84,0,0.47,12.77
384,75,74.999,0,8.59,10.55,23.8,0,0.52,13.5
384,87.5,87.499,0,8.72,10.82,22.55,0,0.55,12.39
384,93.75,93.749,0,8.77,11.06,23.26,0,0.55,12.73
384,96.875,96.874,0,8.94,11.32,23.56,0,0.55,13.02
384,98.437,98.436,0,9.08,11.55,23.83,0,0.54,13.13
384,99.218,99.217,0,8.99,11.72,26.69,0,0.54,14.89
384,100,99.999,0,9.48,12.9,25.78,0,0.47,13.25
440,50,50,0,8.8,10.36,22.43,0,0.47,12.56
440,75,74.999,0,8.9,10.71,25.24,0,0.5,14
440,87.5,87.499,0,8.99,11.02,25.45,0,0.54,14.72
440,93.75,93.749,0,9.04,11.25,24.65,0,0.56,13.7
440,96.875,96.874,0,9.05,11.47,24.95,0,0.56,13.1
