Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.191835385E7, 2.97619047619048E7
Trial 1-128.0, 1.1613078233E7, 1.68918918918919E7
Trial 1-200.0, 1.0742068117E7, 1.13636363636364E7
Trial 1-256.0, 8774835.833, 9057971.01449276
Trial 1-350.0, 6703862.133, 6756756.75675676
Trial 1-384.0, 6139674.867, 6188118.81188119
Trial 1-440.0, 4712894.017, 5434782.60869565
Trial 1-448.0, 5258342.35, 5341880.34188034
Trial 1-500.0, 4657412.6, 4807692.30769231
Trial 1-512.0, 4625759.467, 4699248.12030075
Trial 1-1024.0, 2357187.883, 2394636.01532567
Trial 1-1280.0, 1727735.217, 1923076.92307692
Trial 1-1500.0, 1490530.05, 1644736.84210526
Trial 1-1518.0, 1485780.617, 1625487.64629389

Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Throughput (%),Aggregated Throughput (fps),Aggregated Theoretical Max (fps),Aggregated Throughput (Mbps),Aggregated Theoretical Max (Mbps)
64,40.046,40.046,40.046,11918353.85,29761904.762,8009.2,20000
128,68.75,68.749,68.749,11613078.233,16891891.892,13750,20000
200,94.531,94.53,94.53,10742068.117,11363636.364,18906.2,20000
256,96.875,96.874,96.874,8774835.833,9057971.014,19375,20000
350,99.218,99.217,99.217,6703862.133,6756756.757,19843.6,20000
384,99.218,99.217,99.217,6139674.867,6188118.812,19843.6,20000
440,86.718,86.717,86.717,4712894.017,5434782.609,17343.6,20000
448,98.437,98.436,98.436,5258342.35,5341880.342,19687.4,20000
500,96.875,96.874,96.874,4657412.6,4807692.308,19375,20000
512,98.437,98.436,98.436,4625759.467,4699248.12,19687.4,20000
1024,98.437,98.436,98.436,2357187.883,2394636.015,19687.4,20000
1280,89.843,89.842,89.842,1727735.217,1923076.923,17968.6,20000
1500,90.625,90.624,90.624,1490530.05,1644736.842,18125,20000
1518,91.406,91.405,91.405,1485780.617,1625487.646,18281.2,20000

Graph: LatencyBar, For Y Axis : Latency (uSec)
X-Axis Category, Min Latency, Avg Latency, Max Latency
64, 79.5, 154.19, 2841.74
128, 81.06, 154.53, 2716.35
200, 89.21, 180.31, 2559.61
256, 80.54, 145.96, 1927.09
350, 76.91, 136.03, 1911.77
384, 71.65, 130.29, 1943.5
440, 63.46, 116.5, 1628.71
448, 70.32, 124.14, 1394.57
500, 67.3, 122.98, 1708.2
512, 69.72, 123.77, 1570.79
1024, 67.45, 129.25, 897.34
1280, 70.16, 124.08, 959.86
1500, 73.24, 126.03, 973.0
1518, 69.61, 126.12, 886.48

Graph: JitterBar, For Y Axis : Jitter (uSec)
X-Axis Category, Min Jitter, Avg Jitter, Max Jitter
64, 0.0, 37.01, 2567.61
128, 0.0, 37.85, 2527.12
200, 0.0, 31.34, 2378.98
256, 0.0, 37.94, 1784.39
350, 0.0, 32.62, 1790.5
384, 0.0, 28.31, 1826.69
440, 0.0, 2.89, 1479.07
448, 0.0, 18.76, 1248.76
500, 0.0, 3.51, 1554.37
512, 0.0, 3.2, 1405.44
1024, 0.0, 3.57, 754.38
1280, 0.0, 15.32, 848.81
1500, 0.0, 29.68, 886.95
1518, 0.0, 30.43, 783.22

Advanced Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Min Frame Loss (%),Min Latency (uSec),Avg Latency (uSec),Max Latency (uSec),Min Jitter (uSec),Avg Jitter (uSec),Max Jitter (uSec)
64,50,50,27.4175689094676,33.47,13043.2,137106.26,0,37.15,13665.06
64,25.5,25.5,0,59.5,116.19,1560.77,0,42.35,1444.01
64,37.75,37.75,0,75.4,145.45,2534.47,0,39.31,2398.67
64,43.875,43.875,12.9897608364069,44.08,6953.33,100566.84,0,44.03,3689.59
64,40.812,40.812,0.0203906659381994,81.53,176.15,6697.57,0,35.88,2694.27
64,39.281,39.281,0,80.65,150.85,2705.06,0,37.97,2568.64
64,40.046,40.046,0,79.5,154.19,2841.74,0,37.01,2567.61
128,50,50,0,65.69,126.83,1612.04,0.01,43.85,1503.71
128,75,74.999,8.31605140395904,95.28,3428.32,7567.8,0,47.33,2869.94
128,62.5,62.499,0,77.43,142.89,2910.01,0,40.6,2782.16
128,68.75,68.749,0,81.06,154.53,2716.35,0,37.85,2527.12
128,71.875,71.874,0.0824036693280793,86,217.18,6858.82,0,35,2681.6
128,70.312,70.311,0.00159496929340306,83.37,160.04,6763.7,0,36.44,2607.01
128,69.531,69.53,0.000491414670675698,84.07,157.87,6839,0,37.16,2789.66
200,50,50,0,55.84,108.59,1705.68,0,27.39,1607.05
200,75,74.999,0,73.99,135.07,2098.11,0,41.17,1966.57
200,87.5,87.499,0,78.23,151.68,2242.77,0,37.42,2102.67
200,93.75,93.749,0,88.76,175.72,2524.58,0,32.41,2393.76
200,96.875,96.874,0.000343070442092184,92.03,191.9,3036.53,0,29.39,2861.16
200,95.312,95.311,0.0000050781023372852,89.04,181.28,3043.81,0,31.3,2887.72
200,94.531,94.53,0,89.21,180.31,2559.61,0,31.34,2378.98
256,50,50,0,52.14,103.83,1109.39,0,2.16,972.81
256,75,74.999,0,67.72,122.19,1811.35,0,35.66,1687.18
256,87.5,87.499,0,74.22,134.23,2256.15,0,38.72,2121.78
256,93.75,93.749,0,77.6,143.44,1885.62,0,38.34,1746.01
256,96.875,96.874,0,80.54,145.96,1927.09,0,37.94,1784.39
256,98.437,98.436,0.0000276646310981258,83.3,147.93,2603.41,0,37.44,2455.53
256,97.656,97.655,0.0000169576275878051,82.87,146.78,2537.21,0,37.72,2394.84
350,50,50,0,47.2,99.93,842.36,0,38.57,769.13
350,75,74.999,0,58.09,110.81,1259.62,0,15.89,1120.38
350,87.5,87.499,0,66.38,120.7,1519.87,0,25.98,1384.84
350,93.75,93.749,0,69.52,126.66,1829.7,0,31.02,1705.65
350,96.875,96.874,0,74.61,130.75,1552.44,0,32.27,1410.43
350,98.437,98.436,0,76.17,133.41,1505.68,0,32.54,1364.13
350,99.218,99.217,0,76.91,136.03,1911.77,0,32.62,1790.5
350,100,99.999,0.622545550356979,87.76,3337.29,171127.52,0,40.57,2027.63
384,50,50,0,48.25,98.51,827.36,0,41.76,758.99
384,75,74.999,0,60.23,112.03,1173.91,0,2.56,1034.05
384,87.5,87.499,0,64.36,118.37,1703.7,0,22,1569.48
384,93.75,93.749,0,69.56,123.61,1782.93,0,24.76,1631.2
384,96.875,96.874,0,69.9,126.59,1447.97,0,26.39,1309.45
384,98.437,98.436,0,70.25,128.55,1552.38,0,27.84,1415.62
384,99.218,99.217,0,71.65,130.29,1943.5,0,28.31,1826.69
384,100,99.999,0.000015890804596308,79.07,155.54,1628.54,0,28.64,1452.15
440,50,50,0,48.13,95.41,813.18,0,44.33,720.83
440,75,74.999,0,60.76,108.79,1115.95,0,10.77,1040.79
440,87.5,87.499,0.000160519435284916,64.32,120.27,15854.07,0,3.17,12924.37
440,81.25,81.249,0,62.61,114.65,1565.97,0,2.9,1424.66
440,84.375,84.374,0,64.47,116.5,1251.24,0,2.75,1110.62
440,85.937,85.936,0,63.25,115.75,1256.59,0,2.84,1118.8
440,86.718,86.717,0,63.46,116.5,1628.71,0,2.89,1479.07
448,50,50,0,47.04,94.92,949.22,0,44.04,857.16
448,75,74.999,0,59.57,107.83,1146.74,0,13.21,1074.47
448,87.5,87.499,0,64.16,116.29,1257.32,0,2.89,1116.72
448,93.75,93.749,0,64.27,118.6,1535.86,0,12.92,1391.5
448,96.875,96.874,0,67.79,122.12,1697.72,0,17.36,1559.24
448,98.437,98.436,0,70.32,124.14,1394.57,0,18.76,1248.76
448,99.218,99.217,0.0000012578469247399,71.06,125.57,1446.03,0,19.35,1299.32
500,50,50,0,47.41,101.37,941.65,0,1.67,817.4
500,75,74.999,0,54.58,108.42,1449.12,0,33.56,1364.54
500,87.5,87.499,0,64.91,116.49,1193.82,0,6.86,1097.69
500,93.75,93.749,0,67.44,122.36,1247.03,0,2.97,1103.72
500,96.875,96.874,0,67.3,122.98,1708.2,0,3.51,1554.37
500,98.437,98.436,0.0000045782638731054,69.28,129.66,1687.25,0,4.03,1541.63
500,97.656,97.655,0.0000007099812274219,69.1,124.7,1408.74,0,3.67,1269.89
512,50,50,0,46.77,101.98,813.46,0,1.48,685.73
512,75,74.999,0,54.67,108.69,1369.39,0,34.58,1286.88
512,87.5,87.499,0,64.4,115.41,1495.98,0,9.42,1372.17
512,93.75,93.749,0,66.76,122.14,1267.66,0,3.41,1126.54
512,96.875,96.874,0,68.34,124.19,1288.03,0,3.12,1128.03
512,98.437,98.436,0,69.72,123.77,1570.79,0,3.2,1405.44
512,99.218,99.217,0.0000100090221325503,70.29,123.65,1537.74,0,3.15,1390.63
1024,50,50,0,47.52,114.57,799.44,0,1.73,672.27
1024,75,74.999,0,60.61,112.04,833.22,0,11.2,725.81
1024,87.5,87.499,0,68.22,120.44,1001.14,0,2.3,857.58
1024,93.75,93.749,0,67.83,121.19,997.95,0,2.22,857.83
1024,96.875,96.874,0,68.15,124.12,899.12,0,2.63,758.1
1024,98.437,98.436,0,67.45,129.25,897.34,0,3.57,754.38
1024,99.218,99.217,0.00379436862242764,66.95,135.73,1273.18,0,3.94,1114.14
1280,50,50,0,56.17,122.42,842.33,0,1.51,701.41
1280,75,74.999,0,61.27,110.99,866.23,0,35.21,774.97
1280,87.5,87.499,0,68.43,121.25,886.09,0,17.77,779.65
1280,93.75,93.749,0.0000083200719090873,70.5,128.14,1027.98,0,11.51,866.49
1280,90.625,90.624,0.0000153012788818453,70.2,124.03,884.34,0,13.72,791.66
1280,89.062,89.061,0,69.17,122.22,888.26,0,16.03,772.7
1280,89.843,89.842,0,70.16,124.08,959.86,0,15.32,848.81
1500,50,50,0,60.51,125.96,898.28,0,1.58,761.05
1500,75,74.999,0,59.63,125.37,873.64,0,3.79,738.6
1500,87.5,87.499,0,66.42,120.89,892.38,0,36.54,795.08
1500,93.75,93.749,0.000050802207937458,73.77,129.99,946.77,0,25.71,796.27
1500,90.625,90.624,0,73.24,126.03,973,0,29.68,886.95
1500,92.187,92.186,0.0000043968978566552,73.02,127.65,882.85,0,27.9,784.18
1500,91.406,91.405,0.000001108616514548,72.62,126.46,892.15,0,28.94,795.6
1518,50,50,0,60.76,126.41,805.15,0,1.55,666.13
1518,75,74.999,0,60.01,125.98,947.47,0,2.81,807.75
1518,87.5,87.499,0,65.18,119.8,893.69,0,39.61,787.39
1518,93.75,93.749,0.000195771972855636,74.28,129.22,933.8,0,27.19,789.31
1518,90.625,90.624,0,70.88,124.73,981.95,0,31.69,860.64
1518,92.187,92.186,0.0000022244832364167,72.5,127.24,982.42,0,29.55,850.21
1518,91.406,91.405,0,69.61,126.12,886.48,0,30.43,783.22

Trial Summary Table
Trial,Frame Size (bytes),Result,Intended Load (%),Offered Load (%),Throughput (%),Port Name,Throughput (fps),Theoretical Max Throughput (fps),Throughput (Mbps),Theoretical Max Throughput (Mbps),Frame Loss (%),Max Latency Threshold Exceeded,Out of Sequence Threshold Exceeded
1,64,Passed,40.046,40.046,40.046,,11918353.85,29761904.762,8009.2,20000,0,False,False
,,,,,,Port //1/2,5959166.133,14880952.381,4004.56,10000,,,
,,,,,,Port //1/1,5959187.717,14880952.381,4004.57,10000,,,
1,128,Passed,68.75,68.749,68.749,,11613078.233,16891891.892,13750,20000,0,False,False
,,,,,,Port //1/2,5806529.383,8445945.946,6874.93,10000,,,
,,,,,,Port //1/1,5806548.85,8445945.946,6874.95,10000,,,
1,200,Passed,94.531,94.53,94.53,,10742068.117,11363636.364,18906.2,20000,0,False,False
,,,,,,Port //1/2,5371025.2,5681818.182,9453,10000,,,
,,,,,,Port //1/1,5371042.917,5681818.182,9453.04,10000,,,
1,256,Passed,96.875,96.874,96.874,,8774835.833,9057971.014,19375,20000,0,False,False
,,,,,,Port //1/2,4387410.917,4528985.507,9687.4,10000,,,
,,,,,,Port //1/1,4387424.917,4528985.507,9687.43,10000,,,
1,350,Passed,99.218,99.217,99.217,,6703862.133,6756756.757,19843.6,20000,0,False,False
,,,,,,Port //1/2,3351925.517,3378378.378,9921.7,10000,,,
,,,,,,Port //1/1,3351936.617,3378378.378,9921.73,10000,,,
1,384,Passed,99.218,99.217,99.217,,6139674.867,6188118.812,19843.6,20000,0,False,False
,,,,,,Port //1/2,3069833.15,3094059.406,9921.7,10000,,,
,,,,,,Port //1/1,3069841.717,3094059.406,9921.73,10000,,,
1,440,Passed,86.718,86.717,86.717,,4712894.017,5434782.609,17343.6,20000,0,False,False
,,,,,,Port //1/2,2356443.3,2717391.304,8671.71,10000,,,
,,,,,,Port //1/1,2356450.717,2717391.304,8671.74,10000,,,
1,448,Passed,98.437,98.436,98.436,,5258342.35,5341880.342,19687.4,20000,0,False,False
,,,,,,Port //1/2,2629167.55,2670940.171,9843.6,10000,,,
,,,,,,Port //1/1,2629174.8,2670940.171,9843.63,10000,,,
1,500,Passed,96.875,96.874,96.874,,4657412.6,4807692.308,19375,20000,0,False,False
,,,,,,Port //1/2,2328703.017,2403846.154,9687.4,10000,,,
,,,,,,Port //1/1,2328709.583,2403846.154,9687.43,10000,,,
1,512,Passed,98.437,98.436,98.436,,4625759.467,4699248.12,19687.4,20000,0,False,False
,,,,,,Port //1/2,2312876.633,2349624.06,9843.6,10000,,,
,,,,,,Port //1/1,2312882.833,2349624.06,9843.63,10000,,,
1,1024,Passed,98.437,98.436,98.436,,2357187.883,2394636.015,19687.4,20000,0,False,False
,,,,,,Port //1/2,1178592.15,1197318.008,9843.6,10000,,,
,,,,,,Port //1/1,1178595.733,1197318.008,9843.63,10000,,,
1,1280,Passed,89.843,89.842,89.842,,1727735.217,1923076.923,17968.6,20000,0,False,False
,,,,,,Port //1/2,863866.283,961538.462,8984.21,10000,,,
,,,,,,Port //1/1,863868.933,961538.462,8984.24,10000,,,
1,1500,Passed,90.625,90.624,90.624,,1490530.05,1644736.842,18125,20000,0,False,False
,,,,,,Port //1/2,745263.967,822368.421,9062.41,10000,,,
,,,,,,Port //1/1,745266.083,822368.421,9062.44,10000,,,
1,1518,Passed,91.406,91.405,91.405,,1485780.617,1625487.646,18281.2,20000,0,False,False
,,,,,,Port //1/2,742889.2,812743.823,9140.51,10000,,,
,,,,,,Port //1/1,742891.417,812743.823,9140.54,10000,,,

iMIX Distributions Table
iMIX Distribution,Frame Length Mode,IP Total Length,Default Ethernet,POS Length,Weight,Percentage (%)
N/A,N/A,N/A,N/A,N/A,N/A,N/A

\2544-Tput-Summary_2010-11-16_15-44-57.db\RFC 2544 Throughput Test Result Detailed Summary View

Trial Number,Frame Size Type,Configured Frame Size,Avg Frame Size,iMIX Distribution,Intended Load (%),Offered Load (%),Result,Throughput (%),Max Latency Threshold Exceeded,Out Of Seq Threshold Exceeded,Tx Frame Count,Rx Frame Count,Frame Loss,Percent Loss,Offered Load (fps),Forwarding Rate (fps),Minimum Latency (us),Maximum Latency (us),Average Latency (us),Minimum Jitter (us),Maximum Jitter (us),Average Jitter (us),Out Of Sequence Count,Flood Frame Count,Unexpected Rx Signature Frames,Duration(sec)
1,Fixed,64.0,64.0,N/A,50.0,50.0,Failed,0.0,False,False,892849555,648051913,244797642,27.4175689094676,14880825.917,10793886.08,33.47,137106.26,13043.2,0.0,13665.06,37.15,78404945,0,No,60.0
1,Fixed,64.0,64.0,N/A,25.5,25.5,Passed,25.5,False,False,455353276,455353276,0,0.0,7589221.267,7589226.14,59.5,1560.77,116.19,0.0,1444.01,42.35,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,37.75,37.75,Passed,37.75,False,False,674101533,674101533,0,0.0,11235025.55,11235033.09,75.4,2534.47,145.45,0.0,2398.67,39.31,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,43.875,43.875,Failed,37.75,False,False,783475518,681703922,101771596,12.9897608364069,13057925.3,11355292.77,44.08,100566.84,6953.33,0.0,3689.59,44.03,11357383,0,No,60.0
1,Fixed,64.0,64.0,N/A,40.812,40.812,Failed,37.75,False,False,728779533,728630930,148603,0.0203906659381994,12146325.55,12143860.65,81.53,6697.57,176.15,0.0,2694.27,35.88,1345,0,No,60.0
1,Fixed,64.0,64.0,N/A,39.281,39.281,Passed,39.281,False,False,701440588,701440588,0,0.0,11690676.467,11690685.02,80.65,2705.06,150.85,0.0,2568.64,37.97,0,0,No,60.0
