Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.2829952633E7, 2.97619047619048E7
Trial 1-128.0, 1.2800735667E7, 1.68918918918919E7
Trial 1-200.0, 1.05644574E7, 1.13636363636364E7
Trial 1-256.0, 4599689.3, 9057971.01449276
Trial 1-350.0, 3326593.15, 6756756.75675676
Trial 1-384.0, 2951892.533, 6188118.81188119
Trial 1-440.0, 5137510.533, 5434782.60869565
Trial 1-448.0, 5216621.667, 5341880.34188034
Trial 1-500.0, 4619816.567, 4807692.30769231
Trial 1-512.0, 4699207.467, 4699248.12030075
Trial 1-1024.0, 2319784.067, 2394636.01532567
Trial 1-1280.0, 1802868.983, 1923076.92307692
Trial 1-1500.0, 1606170.483, 1644736.84210526
Trial 1-1518.0, 1511170.633, 1625487.64629389

Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Throughput (%),Aggregated Throughput (fps),Aggregated Theoretical Max (fps),Aggregated Throughput (Mbps),Aggregated Theoretical Max (Mbps)
64,43.109,43.109,43.109,12829952.633,29761904.762,8621.8,20000
128,75.781,75.78,75.78,12800735.667,16891891.892,15156.2,20000
200,92.968,92.967,92.967,10564457.4,11363636.364,18593.6,20000
256,50.781,50.781,50.781,4599689.3,9057971.014,10156.2,20000
350,49.234,49.234,49.234,3326593.15,6756756.757,9846.8,20000
384,47.703,47.703,47.703,2951892.533,6188118.812,9540.6,20000
440,94.531,94.53,94.53,5137510.533,5434782.609,18906.2,20000
448,97.656,97.655,97.655,5216621.667,5341880.342,19531.2,20000
500,96.093,96.092,96.092,4619816.567,4807692.308,19218.6,20000
512,100,99.999,99.999,4699207.467,4699248.12,20000,20000
1024,96.875,96.874,96.874,2319784.067,2394636.015,19375,20000
1280,93.75,93.749,93.749,1802868.983,1923076.923,18750,20000
1500,97.656,97.655,97.655,1606170.483,1644736.842,19531.2,20000
1518,92.968,92.967,92.967,1511170.633,1625487.646,18593.6,20000

Graph: LatencyBar, For Y Axis : Latency (uSec)
X-Axis Category, Min Latency, Avg Latency, Max Latency
64, 48.37, 111.91, 874.5
128, 52.85, 117.19, 1459.38
200, 51.07, 108.95, 814.59
256, 33.81, 84.46, 9195.27
350, 32.36, 94.36, 8620.98
384, 33.18, 95.64, 9365.2
440, 44.63, 95.66, 6530.28
448, 46.63, 95.99, 4061.71
500, 46.12, 101.3, 4578.7
512, 54.37, 114.0, 1792.88
1024, 50.58, 109.19, 1642.55
1280, 56.91, 113.54, 668.56
1500, 57.46, 118.16, 684.55
1518, 58.07, 111.53, 853.36

Graph: JitterBar, For Y Axis : Jitter (uSec)
X-Axis Category, Min Jitter, Avg Jitter, Max Jitter
64, 0.0, 36.62, 793.45
128, 0.0, 35.57, 1371.14
200, 0.0, 37.58, 723.69
256, 0.0, 2.28, 9028.05
350, 0.0, 41.8, 8512.57
384, 0.0, 46.4, 9264.71
440, 0.0, 15.76, 6435.36
448, 0.0, 17.06, 3937.04
500, 0.0, 4.66, 4465.08
512, 0.0, 2.83, 1669.69
1024, 0.0, 3.69, 1520.74
1280, 0.0, 14.02, 585.71
1500, 0.0, 22.57, 583.72
1518, 0.0, 28.81, 782.6

Advanced Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Min Frame Loss (%),Min Latency (uSec),Avg Latency (uSec),Max Latency (uSec),Min Jitter (uSec),Avg Jitter (uSec),Max Jitter (uSec)
64,50,50,24.3380602811058,23.9,11448.38,132279.38,0,34.62,9786.16
64,25.5,25.5,0,33.89,85.97,738.83,0,42.07,654.12
64,37.75,37.75,0,44.21,100.15,826.43,0,39.93,752.77
64,43.875,43.875,6.51510597138442,26.96,5068.61,97906.84,0,36.34,4246.03
64,40.812,40.812,0,45.89,105.78,844.98,0,38.66,768.38
64,42.343,42.343,0,47.32,108.93,882.36,0,37.39,779.99
64,43.109,43.109,0,48.37,111.91,874.5,0,36.62,793.45
128,50,50,0,37.24,92.02,769.81,0,43.49,690.42
128,75,74.999,0,51.51,115.99,1591.82,0,35.82,1502.04
128,87.5,87.499,23.6820384492778,29.08,11429.44,127663.55,0,34.48,1201.78
128,81.25,81.249,11.8816966040532,36.44,8046.77,106350.49,0,35.43,5956.42
128,78.125,78.124,9.80558682197528,33,6926.15,97245.08,0,36.06,1181.69
128,76.562,76.561,4.23413973898303,33.53,3332.2,91298.45,0,36.16,1026.44
128,75.781,75.78,0,52.85,117.19,1459.38,0,35.57,1371.14
200,50,50,0,33.24,83.85,881.93,0,27.01,782.79
200,75,74.999,0,41.12,100.31,782.14,0,40.05,679.96
200,87.5,87.499,0,47.83,103.27,796.24,0,38.83,702.11
200,93.75,93.749,0.000722623090215433,50.97,110.78,8121.82,0,37.46,6365.05
200,90.625,90.624,0,48.46,107.03,1106.73,0,38.07,1005.98
200,92.187,92.186,0,50.86,108.12,885.4,0,37.69,780.92
200,92.968,92.967,0,51.07,108.95,814.59,0,37.58,723.69
256,50,50,0,32.45,84.89,6652.68,0,2.67,6502.42
256,75,74.999,0.0000085867392743021,40.82,103.29,8351.2,0,36.27,8186.37
256,62.5,62.499,0.0000635909534061224,36.8,105.59,11678.02,0,28.34,11574.24
256,56.25,56.25,0.0000055609359973819,34,97.8,10159.25,0,19.06,10049.49
256,53.125,53.125,0.0000606122786386765,32.95,111.24,13143.8,0,7.73,13029.31
256,51.562,51.562,0.000137746033954454,33.21,99.57,9428.76,0,5.38,9263.22
256,50.781,50.781,0,33.81,84.46,9195.27,0,2.28,9028.05
350,50,50,0.0000029600255651488,32.07,87.58,7458.8,0,39.56,7410.57
350,25.5,25.5,0,27.11,87.48,7133.13,0,21,7057.95
350,37.75,37.75,0,28.56,86.39,8900.11,0,16.62,8825.82
350,43.875,43.875,0,32.08,92.92,8964.3,0,46.64,8850.96
350,46.937,46.937,0,31.69,97.8,9391.58,0,45.41,9325.13
350,48.468,48.468,0,32.24,90.37,9507.95,0,42,9414.3
350,49.234,49.234,0,32.36,94.36,8620.98,0,41.8,8512.57
384,50,50,0.0000791846749406069,33.03,90.07,8929.47,0,43.64,8766.51
384,25.5,25.5,0,27.91,82.07,8000.15,0,31.39,7726.47
384,37.75,37.75,0,29.19,87.96,6492.33,0,2.64,6381.57
384,43.875,43.875,0,32.22,84.35,9301.98,0,46.48,9223.11
384,46.937,46.937,0,33.15,86.12,7453.89,0,45.15,7406.56
384,48.468,48.468,0.000127254819251145,32.8,96.65,9150.17,0,46.34,9047.59
384,47.703,47.703,0,33.18,95.64,9365.2,0,46.4,9264.71
440,50,50,0,33.95,84.14,6377.04,0,45.37,6334.24
440,75,74.999,0,41.01,94.85,8445.12,0,13.09,8394.73
440,87.5,87.499,0,42.48,102.31,9059.6,0,4.39,8885.67
440,93.75,93.749,0,42.82,98.07,7994.95,0,14.99,7808.72
