Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.10070495E7, 2.97619047619048E7
Trial 1-128.0, 1.2800735483E7, 1.68918918918919E7
Trial 1-200.0, 1.1185927683E7, 1.13636363636364E7
Trial 1-256.0, 9057894.083, 9057971.01449276
Trial 1-350.0, 6703861.433, 6756756.75675676
Trial 1-384.0, 5946297.633, 6188118.81188119
Trial 1-440.0, 5392237.417, 5434782.60869565
Trial 1-448.0, 5341834.05, 5341880.34188034
Trial 1-500.0, 4507172.533, 4807692.30769231
Trial 1-512.0, 4699208.3, 4699248.12030075
Trial 1-1024.0, 2357187.8, 2394636.01532567
Trial 1-1280.0, 1908022.183, 1923076.92307692
Trial 1-1500.0, 1593325.167, 1644736.84210526
Trial 1-1518.0, 1587372.883, 1625487.64629389

Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Throughput (%),Aggregated Throughput (fps),Aggregated Theoretical Max (fps),Aggregated Throughput (Mbps),Aggregated Theoretical Max (Mbps)
64,36.984,36.984,36.984,11007049.5,29761904.762,7396.8,20000
128,75.781,75.78,75.78,12800735.483,16891891.892,15156.2,20000
200,98.437,98.436,98.436,11185927.683,11363636.364,19687.4,20000
256,100,99.999,99.999,9057894.083,9057971.014,20000,20000
350,99.218,99.217,99.217,6703861.433,6756756.757,19843.6,20000
384,96.093,96.092,96.092,5946297.633,6188118.812,19218.6,20000
440,99.218,99.217,99.217,5392237.417,5434782.609,19843.6,20000
448,100,99.999,99.999,5341834.05,5341880.342,20000,20000
500,93.75,93.749,93.749,4507172.533,4807692.308,18750,20000
512,100,99.999,99.999,4699208.3,4699248.12,20000,20000
1024,98.437,98.436,98.436,2357187.8,2394636.015,19687.4,20000
1280,99.218,99.217,99.217,1908022.183,1923076.923,19843.6,20000
1500,96.875,96.874,96.874,1593325.167,1644736.842,19375,20000
1518,97.656,97.655,97.655,1587372.883,1625487.646,19531.2,20000

Graph: LatencyBar, For Y Axis : Latency (uSec)
X-Axis Category, Min Latency, Avg Latency, Max Latency
64, 43.22, 99.33, 825.27
128, 51.31, 117.06, 1315.28
200, 54.37, 119.22, 937.5
256, 57.24, 121.71, 793.6
350, 47.44, 104.69, 895.55
384, 45.17, 96.73, 730.09
440, 47.37, 98.87, 926.26
448, 51.75, 112.73, 742.71
500, 45.25, 101.52, 724.54
512, 52.65, 110.47, 809.37
1024, 50.63, 105.93, 836.93
1280, 56.93, 117.71, 860.35
1500, 59.59, 116.63, 682.55
1518, 59.88, 118.07, 906.02

Graph: JitterBar, For Y Axis : Jitter (uSec)
X-Axis Category, Min Jitter, Avg Jitter, Max Jitter
64, 0.0, 40.36, 738.1
128, 0.0, 35.67, 1214.05
200, 0.0, 35.72, 835.49
256, 0.0, 36.48, 682.7
350, 0.0, 32.06, 781.48
384, 0.0, 25.09, 623.08
440, 0.0, 19.87, 813.68
448, 0.0, 18.95, 601.12
500, 0.0, 4.37, 624.84
512, 0.0, 2.75, 672.47
1024, 0.0, 2.16, 714.24
1280, 0.0, 6.7, 739.98
1500, 0.0, 23.6, 573.79
1518, 0.0, 23.75, 744.25

Advanced Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Min Frame Loss (%),Min Latency (uSec),Avg Latency (uSec),Max Latency (uSec),Min Jitter (uSec),Avg Jitter (uSec),Max Jitter (uSec)
64,50,50,24.3408987186772,25.11,11450.81,135510.89,0,34.62,9041.45
64,25.5,25.5,0,34.1,85.98,749.98,0,42.07,656.4
64,37.75,37.75,0.00376145126485667,43.72,101.18,8597.17,0,39.95,6768.49
64,31.625,31.625,0,37.47,91.42,783.85,0,41.93,703.41
64,34.687,34.687,0,41.67,95.71,803.46,0,41.49,721.25
64,36.218,36.218,0,42.74,98.04,816.76,0,40.84,737.31
64,36.984,36.984,0,43.22,99.33,825.27,0,40.36,738.1
128,50,50,0,37.41,92.01,781.46,0,43.51,690.66
128,75,74.999,0,51.72,115.97,1517.61,0,35.91,1428.57
128,87.5,87.499,23.676635027351,29.21,11430.22,127702.58,0,34.33,2314.92
128,81.25,81.249,11.946380773273,34.53,9068.73,106269.27,0,35.45,1535.37
128,78.125,78.124,9.84658317055943,34.82,6926.79,97509.01,0,36.06,1191.24
128,76.562,76.561,4.15860128809533,35.73,3286.18,91164.23,0,36.18,1089.08
128,75.781,75.78,0,51.31,117.06,1315.28,0,35.67,1214.05
200,50,50,0,33.77,83.89,925.14,0,26.98,826.37
200,75,74.999,0,42.04,99.75,786.04,0,40.24,691.22
200,87.5,87.499,0,46.76,103.26,801.6,0,38.83,701.21
200,93.75,93.749,0,50.52,109.89,820.57,0,37.45,726.32
200,96.875,96.874,0,54.03,114.69,1133.54,0,36.24,1041.95
200,98.437,98.436,0,54.37,119.22,937.5,0,35.72,835.49
200,99.218,99.217,0.107713812841651,54.3,1924.42,101627.57,0,35.73,986.58
256,50,50,0,33.34,82.55,680.31,0,2.1,630.65
256,75,74.999,0,41.43,92.15,955.46,0,35.41,859.06
256,87.5,87.499,0,44.28,99.83,1026.6,0,37.83,948.76
256,93.75,93.749,0,47.23,109.12,809.19,0,36.62,688
256,96.875,96.874,0,48.87,112.42,831.95,0,35.93,712.95
256,98.437,98.436,0,50.13,111.04,1076.7,0,36.58,964.24
256,99.218,99.217,0,50.79,111.84,1039.88,0,36.28,930.37
256,100,99.999,0,57.24,121.71,793.6,0,36.48,682.7
350,50,50,0,31.53,82.36,678.27,0,38.54,623.2
350,75,74.999,0,38.63,86.45,924.99,0,14.35,818.31
350,87.5,87.499,0,42.94,93,944.82,0,25.56,835.25
350,93.75,93.749,0,45.51,96.5,744.06,0,30.23,643.53
350,96.875,96.874,0,47.16,100.08,741.32,0,31.69,629.46
350,98.437,98.436,0,47.68,102.71,1017.99,0,32.03,921.01
350,99.218,99.217,0,47.44,104.69,895.55,0,32.06,781.48
350,100,99.999,0.533541873704002,64.87,3295.04,169581.39,0,35.65,817.87
384,50,50,0,33.16,80.9,670.28,0,41.61,614.63
384,75,74.999,0,39.79,89.56,899.76,0,2.48,787.98
384,87.5,87.499,0,42.43,91.38,910.71,0,21.11,802.38
384,93.75,93.749,0,44.37,95.1,704.55,0,24.37,596.28
384,96.875,96.874,0.0000214078369058681,45.24,97.52,4463.48,0,25.62,4282.32
384,95.312,95.311,0,44.92,96.29,948.75,0,24.81,841.49
384,96.093,96.092,0,45.17,96.73,730.09,0,25.09,623.08
440,50,50,0,34.11,78.67,652.78,0,44.03,610.54
440,75,74.999,0,41.03,86.19,688.79,0,11.34,640.24
440,87.5,87.499,0,43.68,92.5,928.32,0,2.62,809.54
440,93.75,93.749,0,43.32,93.42,901.47,0,14.37,787.63
440,96.875,96.874,0,46.46,95.73,720.39,0,17.95,618.36
440,98.437,98.436,0,47.26,97.47,813.03,0,19.26,702.86
440,99.218,99.217,0,47.37,98.87,926.26,0,19.87,813.68
440,100,99.999,0.0000006133386121343,52.98,113.68,810.99,0,20.3,690.87
448,50,50,0,33.04,78.48,660.06,0,43.31,586.4
448,75,74.999,0,40.76,85.57,676.31,0,13.74,627.24
448,87.5,87.499,0,42.81,93.56,919.37,0,2.65,798.16
448,93.75,93.749,0,43.05,93.02,703.63,0,10.9,590.06
448,96.875,96.874,0,45.49,95.15,713.82,0,16.23,603.67
448,98.437,98.436,0,47,96.78,927.02,0,17.78,806.04
448,99.218,99.217,0,47.11,98.08,929.71,0,18.45,820.5
448,100,99.999,0,51.75,112.73,742.71,0,18.95,601.12
500,50,50,0,33.57,87.74,656.82,0,1.48,544.2
500,75,74.999,0,38.82,89.08,876.62,0,33.7,810.88
500,87.5,87.499,0,43.74,93.49,923.97,0,7.78,841.91
500,93.75,93.749,0,45.25,101.52,724.54,0,4.37,624.84
500,96.875,96.874,0.664757483184503,45.7,107.26,721.11,0,4.5,619.05
500,95.312,95.311,0.317831678796716,44.93,105.34,926.44,0,4.55,807.73
500,94.531,94.53,0.139583565470806,43.28,103.93,899.4,0,4.54,775.67
512,50,50,0,34.48,87.79,672.95,0,1.39,564.44
512,75,74.999,0,38.17,89.17,679.19,0,34.68,616.44
512,87.5,87.499,0,44.37,91.63,888.88,0,10.38,833.83
512,93.75,93.749,0,45.44,100.85,904.55,0,4.05,782.96
512,96.875,96.874,0,46.14,102.15,690.09,0,3.12,578.48
512,98.437,98.436,0,46.9,101.51,828.34,0,3,705.34
512,99.218,99.217,0,47.55,101.08,939.07,0,2.92,821.87
512,100,99.999,0,52.65,110.47,809.37,0,2.75,672.47
1024,50,50,0,38.24,104.42,693.68,0,1.54,576.08
1024,75,74.999,0,48.72,95.64,644.81,0,12.04,562.78
1024,87.5,87.499,0,50.61,103.22,855.67,0,2.12,735.25
1024,93.75,93.749,0,51.39,103.48,881.27,0,2.09,750.7
1024,96.875,96.874,0,51.29,105.51,668.33,0,2.1,542.65
1024,98.437,98.436,0,50.63,105.93,836.93,0,2.16,714.24
1024,99.218,99.217,0.000293924976204002,50.74,106.83,4214.04,0,2.32,4072.53
1280,50,50,0,45.39,110.75,639.82,0,1.36,516.18
1280,75,74.999,0,50.09,94.75,661.54,0,37.3,579.06
1280,87.5,87.499,0,53.74,103.51,778.37,0,19.29,667.6
1280,93.75,93.749,0,56.49,109,849.76,0,11.51,746.64
1280,96.875,96.874,0,56.7,115.01,679.2,0,8.68,545.45
1280,98.437,98.436,0,57.29,117.38,696.03,0,7.51,567.84
1280,99.218,99.217,0,56.93,117.71,860.35,0,6.7,739.98
1280,100,99.999,0.0000034666965426575,60.9,129,801.36,0,5.71,643.77
1500,50,50,0,49.71,113.92,632.43,0,1.4,506.94
1500,75,74.999,0,47.11,113.43,662.92,0,2.92,537.01
1500,87.5,87.499,0,54.89,106.25,852.46,0,38.19,769.01
1500,93.75,93.749,0,58.49,112.6,848.01,0,27.05,724.03
1500,96.875,96.874,0,59.59,116.63,682.55,0,23.6,573.79
1500,98.437,98.436,0.0000041177279842894,61.91,118.6,804.65,0,21.97,683.17
1500,97.656,97.655,0.0000020753296946578,58.59,118.05,861.5,0,22.34,739.32
1518,50,50,0,49.91,114.35,625.4,0,1.4,500.5
1518,75,74.999,0,47.97,114.12,653.64,0,2.31,525.78
1518,87.5,87.499,0,53.74,106.2,670.79,0,39.83,588.05
1518,93.75,93.749,0,58.32,112.22,851.36,0,28.28,747.04
1518,96.875,96.874,0,58.99,116.7,683.16,0,24.61,566.4
1518,98.437,98.436,0.0000052081141042803,58.8,119.27,671.2,0,22.87,565.53
1518,97.656,97.655,0,59.88,118.07,906.02,0,23.75,744.25

Trial Summary Table
Trial,Frame Size (bytes),Result,Intended Load (%),Offered Load (%),Throughput (%),Port Name,Throughput (fps),Theoretical Max Throughput (fps),Throughput (Mbps),Theoretical Max Throughput (Mbps),Frame Loss (%),Max Latency Threshold Exceeded,Out of Sequence Threshold Exceeded
1,64,Passed,36.984,36.984,36.984,,11007049.5,29761904.762,7396.8,20000,0,False,False
,,,,,,Port //1/2,5503513.5,14880952.381,3698.36,10000,,,
,,,,,,Port //1/1,5503536,14880952.381,3698.38,10000,,,
1,128,Passed,75.781,75.78,75.78,,12800735.483,16891891.892,15156.2,20000,0,False,False
,,,,,,Port //1/2,6400355.7,8445945.946,7578.02,10000,,,
,,,,,,Port //1/1,6400379.783,8445945.946,7578.05,10000,,,
1,200,Passed,98.437,98.436,98.436,,11185927.683,11363636.364,19687.4,20000,0,False,False
,,,,,,Port //1/2,5592953.9,5681818.182,9843.6,10000,,,
,,,,,,Port //1/1,5592973.783,5681818.182,9843.63,10000,,,
1,256,Passed,100,99.999,99.999,,9057894.083,9057971.014,20000,20000,0,False,False
,,,,,,Port //1/2,4528938.733,4528985.507,9999.9,10000,,,
,,,,,,Port //1/1,4528955.35,4528985.507,9999.93,10000,,,
1,350,Passed,99.218,99.217,99.217,,6703861.433,6756756.757,19843.6,20000,0,False,False
,,,,,,Port //1/2,3351924.533,3378378.378,9921.7,10000,,,
,,,,,,Port //1/1,3351936.9,3378378.378,9921.73,10000,,,
1,384,Passed,96.093,96.092,96.092,,5946297.633,6188118.812,19218.6,20000,0,False,False
,,,,,,Port //1/2,2973144.1,3094059.406,9609.2,10000,,,
,,,,,,Port //1/1,2973153.533,3094059.406,9609.23,10000,,,
1,440,Passed,99.218,99.217,99.217,,5392237.417,5434782.609,19843.6,20000,0,False,False
,,,,,,Port //1/2,2696114.233,2717391.304,9921.7,10000,,,
,,,,,,Port //1/1,2696123.183,2717391.304,9921.73,10000,,,
1,448,Passed,100,99.999,99.999,,5341834.05,5341880.342,20000,20000,0,False,False
,,,,,,Port //1/2,2670912.9,2670940.171,9999.9,10000,,,
,,,,,,Port //1/1,2670921.15,2670940.171,9999.93,10000,,,
1,500,Passed,93.75,93.749,93.749,,4507172.533,4807692.308,18750,20000,0,False,False
,,,,,,Port //1/2,2253582.85,2403846.154,9374.9,10000,,,
,,,,,,Port //1/1,2253589.683,2403846.154,9374.93,10000,,,
1,512,Passed,100,99.999,99.999,,4699208.3,4699248.12,20000,20000,0,False,False
,,,,,,Port //1/2,2349600.967,2349624.06,9999.9,10000,,,
,,,,,,Port //1/1,2349607.333,2349624.06,9999.93,10000,,,
1,1024,Passed,98.437,98.436,98.436,,2357187.8,2394636.015,19687.4,20000,0,False,False
,,,,,,Port //1/2,1178592.15,1197318.008,9843.6,10000,,,
,,,,,,Port //1/1,1178595.65,1197318.008,9843.63,10000,,,
1,1280,Passed,99.218,99.217,99.217,,1908022.183,1923076.923,19843.6,20000,0,False,False
,,,,,,Port //1/2,954009.683,961538.462,9921.7,10000,,,
,,,,,,Port //1/1,954012.5,961538.462,9921.73,10000,,,
1,1500,Passed,96.875,96.874,96.874,,1593325.167,1644736.842,19375,20000,0,False,False
,,,,,,Port //1/2,796661.417,822368.421,9687.4,10000,,,
,,,,,,Port //1/1,796663.75,822368.421,9687.43,10000,,,
1,1518,Passed,97.656,97.655,97.655,,1587372.883,1625487.646,19531.2,20000,0,False,False
,,,,,,Port //1/2,793685.283,812743.823,9765.5,10000,,,
,,,,,,Port //1/1,793687.6,812743.823,9765.53,10000,,,

iMIX Distributions Table
iMIX Distribution,Frame Length Mode,IP Total Length,Default Ethernet,POS Length,Weight,Percentage (%)
N/A,N/A,N/A,N/A,N/A,N/A,N/A

\2544-Tput-Summary_2010-11-19_14-58-38.db\RFC 2544 Throughput Test Result Detailed Summary View

Trial Number,Frame Size Type,Configured Frame Size,Avg Frame Size,iMIX Distribution,Intended Load (%),Offered Load (%),Result,Throughput (%),Max Latency Threshold Exceeded,Out Of Seq Threshold Exceeded,Tx Frame Count,Rx Frame Count,Frame Loss,Percent Loss,Offered Load (fps),Forwarding Rate (fps),Minimum Latency (us),Maximum Latency (us),Average Latency (us),Minimum Jitter (us),Maximum Jitter (us),Average Jitter (us),Out Of Sequence Count,Flood Frame Count,Unexpected Rx Signature Frames,Duration(sec)
