Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.9172757667E7, 2.97619047619048E7
Trial 1-128.0, 1.55851708E7, 1.68918918918919E7
Trial 1-200.0, 1.1187744317E7, 1.13636363636364E7
Trial 1-256.0, 9057895.05, 9057971.01449276
Trial 1-350.0, 6704402.3, 6756756.75675676
Trial 1-384.0, 6188064.733, 6188118.81188119
Trial 1-440.0, 5434735.9, 5434782.60869565
Trial 1-448.0, 5341834.083, 5341880.34188034
Trial 1-500.0, 4472991.15, 4807692.30769231
Trial 1-512.0, 4699206.883, 4699248.12030075
Trial 1-1024.0, 2339036.233, 2394636.01532567
Trial 1-1280.0, 1804061.35, 1923076.92307692
Trial 1-1500.0, 1644722.45, 1644736.84210526
Trial 1-1518.0, 1537454.283, 1625487.64629389

Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Throughput (%),Aggregated Throughput (fps),Aggregated Theoretical Max (fps),Aggregated Throughput (Mbps),Aggregated Theoretical Max (Mbps)
64,64.421,64.42,64.42,19172757.667,29761904.762,12884.2,20000
128,92.265,92.264,92.264,15585170.8,16891891.892,18453,20000
200,98.453,98.452,98.452,11187744.317,11363636.364,19690.6,20000
256,100,99.999,99.999,9057895.05,9057971.014,20000,20000
350,99.226,99.225,99.225,6704402.3,6756756.757,19845.2,20000
384,100,99.999,99.999,6188064.733,6188118.812,20000,20000
440,100,99.999,99.999,5434735.9,5434782.609,20000,20000
448,100,99.999,99.999,5341834.083,5341880.342,20000,20000
500,93.039,93.038,93.038,4472991.15,4807692.308,18607.8,20000
512,100,99.999,99.999,4699206.883,4699248.12,20000,20000
1024,97.679,97.678,97.678,2339036.233,2394636.015,19535.8,20000
1280,93.812,93.811,93.811,1804061.35,1923076.923,18762.4,20000
1500,100,99.999,99.999,1644722.45,1644736.842,20000,20000
1518,94.585,94.584,94.584,1537454.283,1625487.646,18917,20000

Graph: LatencyBar, For Y Axis : Latency (uSec)
X-Axis Category, Min Latency, Avg Latency, Max Latency
64, 7.75, 14.55, 30.0
128, 7.93, 14.54, 27.93
200, 8.33, 16.11, 38.57
256, 8.87, 15.13, 28.3
350, 9.03, 12.38, 24.44
384, 9.46, 12.87, 24.02
440, 9.62, 23.55, 45.86
448, 9.6, 13.3, 26.13
500, 9.21, 15.53, 52.96
512, 9.88, 14.71, 29.1
1024, 11.44, 19.77, 50.73
1280, 12.37, 17.54, 46.38
1500, 13.85, 22.12, 33.67
1518, 13.33, 17.41, 45.77

Graph: JitterBar, For Y Axis : Jitter (uSec)
X-Axis Category, Min Jitter, Avg Jitter, Max Jitter
64, 0.0, 0.58, 6.97
128, 0.0, 0.57, 10.0
200, 0.0, 0.7, 11.09
256, 0.0, 0.47, 12.81
350, 0.0, 0.46, 11.19
384, 0.0, 0.47, 11.32
440, 0.0, 0.5, 12.22
448, 0.0, 0.5, 12.35
500, 0.0, 1.36, 18.2
512, 0.0, 0.46, 13.62
1024, 0.0, 1.96, 14.49
1280, 0.0, 1.9, 22.67
1500, 0.0, 0.15, 9.73
1518, 0.0, 1.49, 22.81

Advanced Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Min Frame Loss (%),Min Latency (uSec),Avg Latency (uSec),Max Latency (uSec),Min Jitter (uSec),Avg Jitter (uSec),Max Jitter (uSec)
64,100,99.999,36.670294642671,9.11,115.99,221.85,0,2.63,25.98
64,50.5,50.5,0,7.63,12.99,25.65,0,0.49,8.71
64,75.25,75.249,17.2713383526678,8.22,118.36,228.11,0,1.86,22.94
64,62.875,62.874,0,7.79,14.23,28.85,0,0.58,7.27
64,69.062,69.061,8.57905049802437,8.24,115.48,226.1,0,1.21,22.67
64,65.968,65.967,3.71837971420514,7.69,30.36,66.68,0,0.6,7.91
64,64.421,64.42,0,7.75,14.55,30,0,0.58,6.97
64,65.195,65.194,3.17322843445028,7.75,30.26,63.6,0,0.63,7.4
128,100,99.999,3.9958972835184,8.67,33.61,65.42,0,0.67,8.99
128,50.5,50.5,0,7.94,10.95,22.27,0,0.43,10.19
128,75.25,75.249,0,7.99,12.82,25.3,0,0.5,9.16
128,87.625,87.624,0,8.03,13.99,26.75,0,0.56,10.44
128,93.812,93.811,0.94034237649608,8.01,32.93,64.52,0,0.59,9.73
128,90.718,90.717,0,7.98,14.36,27.59,0,0.57,10.24
128,92.265,92.264,0,7.93,14.54,27.93,0,0.57,10
128,93.039,93.038,0.531236679803552,8.03,32.77,64.46,0,0.58,9.85
200,100,99.999,0.500631000595308,9.03,58.7,85.52,0,0.66,12.1
200,50.5,50.5,0,7.77,9.81,24.39,0,0.5,15.28
200,75.25,75.249,0,8.26,11.52,23.07,0,0.47,10.1
200,87.625,87.624,0,8.28,12.56,25.39,0,0.49,10.71
200,93.812,93.811,0,8.31,13.56,26.08,0,0.59,10.94
200,96.906,96.905,0,8.33,14.25,28.18,0,0.66,11.35
200,98.453,98.452,0,8.33,16.11,38.57,0,0.7,11.09
200,99.226,99.225,0.114512030853782,8.55,46.92,81.5,0,0.67,12.32
256,100,99.999,0,8.87,15.13,28.3,0,0.47,12.81
350,100,99.999,0.537124419626038,9.07,202.92,347.6,0.03,0.52,11.97
350,50.5,50.5,0,8.46,10.2,30065849.86,0,0.62,30065839.36
350,75.25,75.249,0,8.46,10.51,24.05,0,0.53,14.55
350,87.625,87.624,0,8.51,10.76,25.21,0,0.54,14.17
350,93.812,93.811,0,8.73,11.11,25.03,0,0.51,14.45
350,96.906,96.905,0,8.96,11.56,25.11,0,0.49,11.41
350,98.453,98.452,0,9.01,11.97,23.8,0,0.49,11.52
350,99.226,99.225,0,9.03,12.38,24.44,0,0.46,11.19
384,100,99.999,0,9.46,12.87,24.02,0,0.47,11.32
440,100,99.999,0,9.62,23.55,45.86,0,0.5,12.22
448,100,99.999,0,9.6,13.3,26.13,0,0.5,12.35
500,100,99.999,1.68447112698843,10.04,49.39,63.81,0,0.59,14.02
500,50.5,50.5,0,8.95,10.61,23.12,0,0.48,12.92
500,75.25,75.249,0,9.17,10.92,25.45,0,0.5,14.41
500,87.625,87.624,0,9.2,11.16,23.76,0,0.52,12.72
500,93.812,93.811,0.0305658442325791,9.31,17.79,62.66,0,1.73,17.38
500,90.718,90.717,0,9.2,11.27,23.7,0,0.53,12.58
500,92.265,92.264,0,9.23,13.39,38.85,0,0.95,17.8
500,93.039,93.038,0,9.21,15.53,52.96,0,1.36,18.2
512,100,99.999,0,9.88,14.71,29.1,0,0.46,13.62
1024,100,99.999,0.441734843473394,12.04,32.58,61.26,0,0.38,12.53
1024,50.5,50.5,0,11.14,12.66,25.36,0,0.48,12.97
1024,75.25,75.249,0,11.19,12.96,24.57,0,0.48,11.61
1024,87.625,87.624,0,11.34,13.18,25.43,0,0.49,12.41
1024,93.812,93.811,0,11.35,13.36,25.73,0,0.5,12.33
1024,96.906,96.905,0,11.4,16.18,38.13,0,1.3,16.01
1024,98.453,98.452,0.0638757769932791,11.4,24.84,60.77,0,2.01,17.89
1024,97.679,97.678,0,11.44,19.77,50.73,0,1.96,14.49
1280,100,99.999,1.27732938612981,13.14,34.73,65.18,0,0.45,21.59
1280,50.5,50.5,0,12.11,13.68,24.73,0,0.48,11.11
