Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.2727570983E7, 2.97619047619048E7
Trial 1-128.0, 1.2711038383E7, 1.68918918918919E7
Trial 1-200.0, 1.0572522183E7, 1.13636363636364E7
Trial 1-256.0, 9057894.467, 9057971.01449276
Trial 1-350.0, 6704402.75, 6756756.75675676
Trial 1-384.0, 6188064.633, 6188118.81188119
Trial 1-440.0, 5434735.967, 5434782.60869565
Trial 1-448.0, 5300489.267, 5341880.34188034
Trial 1-500.0, 4472991.283, 4807692.30769231
Trial 1-512.0, 4699208.517, 4699248.12030075
Trial 1-1024.0, 2339036.367, 2394636.01532567
Trial 1-1280.0, 1804061.467, 1923076.92307692
Trial 1-1500.0, 1606548.467, 1644736.84210526
Trial 1-1518.0, 1524889.3, 1625487.64629389

Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Throughput (%),Aggregated Throughput (fps),Aggregated Theoretical Max (fps),Aggregated Throughput (Mbps),Aggregated Theoretical Max (Mbps)
64,42.765,42.765,42.765,12727570.983,29761904.762,8553,20000
128,75.25,75.249,75.249,12711038.383,16891891.892,15050,20000
200,93.039,93.038,93.038,10572522.183,11363636.364,18607.8,20000
256,100,99.999,99.999,9057894.467,9057971.014,20000,20000
350,99.226,99.225,99.225,6704402.75,6756756.757,19845.2,20000
384,100,99.999,99.999,6188064.633,6188118.812,20000,20000
440,100,99.999,99.999,5434735.967,5434782.609,20000,20000
448,99.226,99.225,99.225,5300489.267,5341880.342,19845.2,20000
500,93.039,93.038,93.038,4472991.283,4807692.308,18607.8,20000
512,100,99.999,99.999,4699208.517,4699248.12,20000,20000
1024,97.679,97.678,97.678,2339036.367,2394636.015,19535.8,20000
1280,93.812,93.811,93.811,1804061.467,1923076.923,18762.4,20000
1500,97.679,97.678,97.678,1606548.467,1644736.842,19535.8,20000
1518,93.812,93.811,93.811,1524889.3,1625487.646,18762.4,20000

Graph: LatencyBar, For Y Axis : Latency (uSec)
X-Axis Category, Min Latency, Avg Latency, Max Latency
64, 48.61, 110.12, 862.4
128, 51.15, 115.74, 1177.91
200, 51.31, 109.15, 1129.45
256, 58.21, 125.41, 1051.3
350, 47.39, 104.82, 905.44
384, 50.61, 113.51, 743.59
440, 52.92, 120.41, 1002.19
448, 48.31, 98.07, 943.76
500, 44.53, 100.5, 909.11
512, 52.69, 112.8, 884.53
1024, 49.86, 110.67, 776.0
1280, 56.84, 111.48, 697.44
1500, 59.0, 118.61, 669.65
1518, 58.45, 114.09, 834.67

Graph: JitterBar, For Y Axis : Jitter (uSec)
X-Axis Category, Min Jitter, Avg Jitter, Max Jitter
64, 0.0, 36.97, 776.14
128, 0.0, 35.94, 1091.25
200, 0.0, 37.55, 1030.9
256, 0.0, 36.44, 933.76
350, 0.0, 32.08, 800.8
384, 0.0, 28.07, 626.04
440, 0.0, 20.28, 850.84
448, 0.0, 18.5, 832.71
500, 0.0, 4.42, 815.62
512, 0.0, 2.8, 751.62
1024, 0.0, 3.48, 644.39
1280, 0.0, 12.93, 574.1
1500, 0.0, 21.4, 561.34
1518, 0.0, 26.55, 749.34

Advanced Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Min Frame Loss (%),Min Latency (uSec),Avg Latency (uSec),Max Latency (uSec),Min Jitter (uSec),Avg Jitter (uSec),Max Jitter (uSec)
64,100,99.999,59.339813703761,96.69,12856.68,323663.13,0,22.14,7647.23
64,50.5,50.5,25.4762771280029,24.64,11508.87,133778.13,0,34.24,1254.92
64,25.75,25.75,0,33.91,86.47,762.31,0,42.04,674.82
64,38.125,38.125,0,44.45,100.71,825.51,0,39.93,741.2
64,44.312,44.312,9.99651239312529,29.6,6935.52,99446.31,0,36.34,1197.87
64,41.218,41.218,0,47.31,106.62,849.88,0,38.37,762.23
64,42.765,42.765,0,48.61,110.12,862.4,0,36.97,776.14
64,43.539,43.539,5.2005170493083,30.11,3371.08,93665.17,0,36.59,1184.92
128,100,99.999,36.075450452356,25.17,12363.12,194035.37,0,31.89,1770.73
128,50.5,50.5,0,38.12,92.76,1015.46,0,43.51,924.19
128,75.25,75.249,0,51.15,115.74,1177.91,0,35.94,1091.25
128,87.625,87.624,23.7807136529216,28.46,11428.58,127826.86,0,34.44,1277.58
128,81.437,81.436,11.8994441123239,34.96,8243.84,106967.55,0,35.4,796.06
128,78.343,78.342,8.56695949257812,38.38,6856.85,98654.79,0,35.89,1426.09
128,76.796,76.795,5.51931966209908,31.26,4216.16,93036.6,0,36.06,1440.64
128,76.023,76.022,1.69249668485325,43.14,1534.64,91152.68,0,35.87,1138.67
200,100,99.999,0.708087821234467,78.29,4009.11,101148.89,0,36.09,1015.38
200,50.5,50.5,0,34.35,83.96,708.98,0,27.33,610.97
200,75.25,75.249,0,42.71,100.42,796.14,0,40,687.81
200,87.625,87.624,0,48.12,103.56,1083.18,0,38.81,985.4
200,93.812,93.811,0.00205637164918477,51.02,111.01,8731.76,0,37.42,8630.05
200,90.718,90.717,0,49.75,106.76,828.91,0,38.09,737.02
200,92.265,92.264,0,50.19,108.16,816.81,0,37.68,728.53
200,93.039,93.038,0,51.31,109.15,1129.45,0,37.55,1030.9
256,100,99.999,0,58.21,125.41,1051.3,0,36.44,933.76
350,100,99.999,0.53349258468916,68.91,3292.2,169592.2,0,35.67,677.09
350,50.5,50.5,0,32.41,82.64,680.51,0,38.07,624.01
350,75.25,75.249,0,37.95,86.45,918.06,0,14.99,817.83
350,87.625,87.624,0,42.34,93.02,964.95,0,25.59,856.56
350,93.812,93.811,0,45.29,96.57,745.24,0,30.33,648.28
350,96.906,96.905,0,46.74,100.21,746.46,0,31.65,646.21
350,98.453,98.452,0,47.02,102.68,968.95,0,31.96,866.42
350,99.226,99.225,0,47.39,104.82,905.44,0,32.08,800.8
384,100,99.999,0,50.61,113.51,743.59,0,28.07,626.04
440,100,99.999,0,52.92,120.41,1002.19,0,20.28,850.84
448,100,99.999,0.0000012480107722299,50.25,115.38,935.01,0,19.12,802.38
448,50.5,50.5,0,33.87,78.72,654.64,0,43.96,610.09
448,75.25,75.249,0,41.15,85.73,693.85,0,13.14,630.44
448,87.625,87.624,0,43.59,93.56,860.74,0,2.67,742.16
448,93.812,93.811,0,43.32,93.09,915.77,0,11.11,819.42
448,96.906,96.905,0,46.1,95.25,844.58,0,16.31,733.89
448,98.453,98.452,0,45.77,96.77,716.52,0,17.79,609.17
448,99.226,99.225,0,48.31,98.07,943.76,0,18.5,832.71
500,100,99.999,1.63746997884518,68.65,134,929.91,0,6.15,800.2
500,50.5,50.5,0,33.48,87.28,665.76,0,1.62,551.99
500,75.25,75.249,0,37.52,88.97,680.07,0,33.52,615.78
500,87.625,87.624,0,43.84,93.48,914.42,0,7.62,822
500,93.812,93.811,0.000271609335756089,44.96,102.47,952.63,0,4.73,803.11
500,90.718,90.717,0,43.84,97.95,702.17,0,4.57,618.44
500,92.265,92.264,0,44.84,98.42,692.74,0,4.16,568.62
500,93.039,93.038,0,44.53,100.5,909.11,0,4.42,815.62
512,100,99.999,0,52.69,112.8,884.53,0,2.8,751.62
1024,100,99.999,0.450177377825508,54.46,129.72,695.54,0,3.6,553.53
1024,50.5,50.5,0,38.13,103.43,734.21,0,1.69,616.76
1024,75.25,75.249,0,48.21,95.99,840.07,0,12.01,769.33
1024,87.625,87.624,0,51.23,103.71,827.98,0,2.15,691.97
1024,93.812,93.811,0,52.07,106.47,663.4,0,2.17,544.97
1024,96.906,96.905,0,50.67,107.57,851.17,0,2.71,724.96
1024,98.453,98.452,0.0636799517084863,49.85,116,873.49,0,4.06,734.97
1024,97.679,97.678,0,49.86,110.67,776,0,3.48,644.39
1280,100,99.999,1.27947881545962,62.47,138.83,711.97,0,7.5,586.45
1280,50.5,50.5,0,45.52,111.05,801.08,0,1.38,678.43
1280,75.25,75.249,0,49.52,95.26,834.69,0,35.7,738.2
1280,87.625,87.624,0,54.8,103.82,729.54,0,18.37,598.3
1280,93.812,93.811,0,56.84,111.48,697.44,0,12.93,574.1
1280,96.906,96.905,0.535511435488855,51.23,119.99,905.69,0,11.66,732.62
1280,95.359,95.358,0.143816161794132,51.22,116.21,839.16,0,12.89,711.66
1280,94.585,94.584,0.00028771547907903,54.79,114.01,703.51,0,12.75,618.2
1500,100,99.999,0.0019810839617938,66.41,135.78,842.11,0,19.13,700.44
1500,50.5,50.5,0,49.05,114.32,800.4,0,1.43,675.98
1500,75.25,75.249,0,47.58,112.06,811.97,0,3.27,689.83
1500,87.625,87.624,0,54.83,106.69,661.76,0,37.74,578.22
1500,93.812,93.811,0,57.96,113.97,771.51,0,25.53,652.2
1500,96.906,96.905,0,60.09,118.08,843.07,0,21.96,732.08
1500,98.453,98.452,0.0000020585297015421,59.27,120.27,802.32,0,20.48,660.46
1500,97.679,97.678,0,59,118.61,669.65,0,21.4,561.34
1518,100,99.999,1.06234582249064,69.01,147.38,871.26,0,22.46,732.17
1518,50.5,50.5,0,50.14,114.44,785.74,0,1.43,658.91
1518,75.25,75.249,0,47.74,113.04,657.25,0,2.43,573.46
1518,87.625,87.624,0,53.13,106.42,659.72,0,39.65,572.37
1518,93.812,93.811,0,58.45,114.09,834.67,0,26.55,749.34
