Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.1806741783E7, 2.97619047619048E7
Trial 1-128.0, 1.1665778783E7, 1.68918918918919E7
Trial 1-200.0, 1.057252115E7, 1.13636363636364E7
Trial 1-256.0, 8917767.033, 9057971.01449276
Trial 1-350.0, 6652172.25, 6756756.75675676
Trial 1-384.0, 6140170.483, 6188118.81188119
Trial 1-440.0, 5350658.717, 5434782.60869565
Trial 1-448.0, 5259195.617, 5341880.34188034
Trial 1-500.0, 4584526.733, 4807692.30769231
Trial 1-512.0, 4626510.333, 4699248.12030075
Trial 1-1024.0, 2320525.617, 2394636.01532567
Trial 1-1280.0, 1804061.05, 1923076.92307692
Trial 1-1500.0, 1504789.45, 1644736.84210526
Trial 1-1518.0, 1487178.167, 1625487.64629389

Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Throughput (%),Aggregated Throughput (fps),Aggregated Theoretical Max (fps),Aggregated Throughput (Mbps),Aggregated Theoretical Max (Mbps)
64,39.671,39.671,39.671,11806741.783,29761904.762,7934.2,20000
128,69.062,69.061,69.061,11665778.783,16891891.892,13812.4,20000
200,93.039,93.038,93.038,10572521.15,11363636.364,18607.8,20000
256,98.453,98.452,98.452,8917767.033,9057971.014,19690.6,20000
350,98.453,98.452,98.452,6652172.25,6756756.757,19690.6,20000
384,99.226,99.225,99.225,6140170.483,6188118.812,19845.2,20000
440,98.453,98.452,98.452,5350658.717,5434782.609,19690.6,20000
448,98.453,98.452,98.452,5259195.617,5341880.342,19690.6,20000
500,95.359,95.358,95.358,4584526.733,4807692.308,19071.8,20000
512,98.453,98.452,98.452,4626510.333,4699248.12,19690.6,20000
1024,96.906,96.905,96.905,2320525.617,2394636.015,19381.2,20000
1280,93.812,93.811,93.811,1804061.05,1923076.923,18762.4,20000
1500,91.492,91.491,91.491,1504789.45,1644736.842,18298.4,20000
1518,91.492,91.491,91.491,1487178.167,1625487.646,18298.4,20000

Graph: LatencyBar, For Y Axis : Latency (uSec)
X-Axis Category, Min Latency, Avg Latency, Max Latency
64, 77.48, 152.55, 2659.94
128, 85.09, 155.14, 2633.11
200, 87.1, 174.41, 3067.0
256, 84.32, 147.91, 2005.3
350, 74.77, 133.71, 1482.82
384, 72.03, 130.8, 1932.03
440, 70.55, 125.59, 1794.1
448, 69.67, 124.62, 1805.2
500, 68.39, 124.26, 1691.86
512, 67.99, 124.37, 1635.19
1024, 67.6, 125.83, 1315.24
1280, 74.76, 129.21, 927.8
1500, 73.09, 127.36, 906.2
1518, 72.08, 126.77, 976.28

Graph: JitterBar, For Y Axis : Jitter (uSec)
X-Axis Category, Min Jitter, Avg Jitter, Max Jitter
64, 0.0, 37.49, 2539.74
128, 0.0, 37.37, 2492.84
200, 0.0, 32.72, 2934.12
256, 0.0, 37.4, 1868.28
350, 0.0, 32.57, 1347.1
384, 0.0, 28.43, 1806.6
440, 0.0, 20.23, 1653.05
448, 0.0, 18.9, 1632.54
500, 0.0, 4.12, 1545.5
512, 0.0, 3.28, 1488.8
1024, 0.0, 3.25, 1175.61
1280, 0.0, 12.77, 780.75
1500, 0.0, 28.48, 791.51
1518, 0.0, 29.93, 885.5

Advanced Test Summary Table
Frame Size (bytes),Intended Load (%),Offered Load (%),Min Frame Loss (%),Min Latency (uSec),Avg Latency (uSec),Max Latency (uSec),Min Jitter (uSec),Avg Jitter (uSec),Max Jitter (uSec)
64,100,99.999,62.1997772737124,104.43,14864.2,307727.18,0,23.77,9898.52
64,50.5,50.5,28.3684973046328,32.72,13048.72,132703.29,0,36.79,2899.64
64,25.75,25.75,0,59.76,116.87,1534.85,0,42.44,1432.4
64,38.125,38.125,0,78.57,147.05,2515.88,0,39.18,2386.79
64,44.312,44.312,13.3910068009077,45.93,7938.23,103203.06,0,40.42,2750.9
64,41.218,41.218,0.0981402350661753,82.7,226.85,6719.9,0,35.09,2654.66
64,39.671,39.671,0,77.48,152.55,2659.94,0,37.49,2539.74
64,40.445,40.445,0.00172148366293104,81.21,157.86,6767.88,0,36.38,2526.8
128,100,99.999,41.3747362791459,31.68,13900,198678.05,0,34.52,3060.29
128,50.5,50.5,0,67.45,128.69,2272.23,0,43.62,2155.27
128,75.25,75.249,8.9977038185207,101.45,3538.15,7777.2,0,47.62,2827.28
128,62.875,62.874,0,77.67,143.46,2239.49,0,40.42,2129.61
128,69.062,69.061,0,85.09,155.14,2633.11,0,37.37,2492.84
128,72.156,72.155,0.142496311553749,86.93,249.27,6811.68,0,34.47,2634.86
128,70.609,70.608,0.0884069840045924,85.79,209.04,7091.16,0,34.91,2969.25
128,69.835,69.834,0.0613578187066071,81.94,199.87,7054.95,0,35.72,2916.35
200,100,99.999,0.85750738387087,132.3,4188.04,107936.24,0,32.22,2628.62
200,50.5,50.5,0,56.26,109.1,1334.46,0,27.67,1206.18
200,75.25,75.249,0,71.65,135.42,1783,0,41.13,1674.37
200,87.625,87.624,0,80.94,153.19,2971.16,0,37.24,2840.57
200,93.812,93.811,0.0000034395326724468,87.45,177.28,3009.14,0,32.06,2869
200,90.718,90.717,0,86.19,162.52,2322.32,0,35.22,2179.39
200,92.265,92.264,0,84.41,171.35,2663.39,0,33.09,2511.86
200,93.039,93.038,0,87.1,174.41,3067,0,32.72,2934.12
256,100,99.999,0.0432523359458439,91.43,299.2,129908.37,0,33.67,2164.02
256,50.5,50.5,0,52.65,104.58,1095.27,0,2.25,964.99
256,75.25,75.249,0,68.11,122.54,1568.22,0,35.62,1436.83
256,87.625,87.624,0,73.49,134.45,2202.55,0,38.67,2059.19
256,93.812,93.811,0,78.95,144.05,2466.35,0,38.43,2330.11
256,96.906,96.905,0,81.65,146.43,1927.98,0,37.87,1795.62
256,98.453,98.452,0,84.32,147.91,2005.3,0,37.4,1868.28
256,99.226,99.225,0.0000500679523176039,84.95,151.98,2669.81,0,36.47,2524.78
350,100,99.999,0.639629462418332,77.12,3545.78,170911,0,40.65,12906.33
350,50.5,50.5,0,47.54,100.45,864.96,0,38.13,794.96
350,75.25,75.249,0,58.75,111.23,1296.82,0,16.5,1168.47
350,87.625,87.624,0,66.37,121.12,1790.57,0,26.15,1658.69
350,93.812,93.811,0,70.49,127.03,1904.14,0,31.14,1789.11
350,96.906,96.905,0,75.1,131.11,1571.01,0,32.32,1426.98
350,98.453,98.452,0,74.77,133.71,1482.82,0,32.57,1347.1
350,99.226,99.225,0.0000039774863632066,77.83,136.92,1979.39,0,32.64,1844.25
384,100,99.999,0.0000061947213701862,79.24,153.15,1511.71,0,28.72,1350.62
384,50.5,50.5,0,48.69,99.08,834.06,0,41.52,764.19
384,75.25,75.249,0,59.99,112.16,1255.74,0,2.63,1121.38
384,87.625,87.624,0,65.46,118.81,1747.18,0,22.11,1607.95
384,93.812,93.811,0,67.72,123.84,1710.4,0,24.78,1566.29
384,96.906,96.905,0,70.14,126.86,1440.47,0,26.54,1299.01
